Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.25,0.75,0.002329445,247948.7554,0.492231051,0,100,369,8.8121355,6,0,0
1,france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.5,0.5,0.002822025,304639.234,0.376135834,0,100,379,19.0902832,6,0,0
1,france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.75,0.25,0.002938571,317105.875,0.350605667,0,100,353,53.0401,5,0,0
1,france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.25,0.75,0.004846227,549180.281,0.611186711,0,100,469,48.6811544,7,0,0
1,france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.5,0.5,0.004850677,563551.0802,0.601012351,0,100,408,48.4049241,6,0,0
1,france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.75,0.25,0.005453953,632270.7691,0.552359606,0,100,179,59.1650037,2,0,0
1,france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.25,0.75,0.007285973,813240.1301,0.701719547,0,100,627,27.1232549,10,0,0
1,france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.5,0.5,0.006945548,793334.8972,0.709020394,0,100,533,53.2683177,8,0,0
1,france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.75,0.25,0.007950268,923503.0478,0.661277282,0,100,236,56.0270049,3,0,0
1,france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.25,0.75,0.011124892,1.68E+06,0.847508388,0,100,344,43.6845962,5,0,0
1,france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.5,0.5,0.011305292,1.71E+06,0.844711908,0,100,169,49.4783018,2,0,0
1,france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.75,0.25,0.012497255,1.91E+06,0.827347403,0,100,89,29.1540136,1,0,0
