Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.5,0.5,0.002822025,304639.234,0.376135834,0,100,339,38.6080828,5,0,0
2,france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.5,0.5,0.002821984,304636.1978,0.376142052,0,100,383,22.9616887,6,0,0
3,france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.5,0.5,0.002822262,304656.5652,0.376100342,0,100,384,23.7270542,6,0,0
4,france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.5,0.5,0.002821954,304634.0851,0.376146378,0,100,362,1.7679665,6,0,0
5,france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.5,0.5,0.002822122,304646.3448,0.376121272,0,100,372,11.5229289,6,0,0
1,france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.5,0.5,0.004850677,563551.0802,0.601012351,0,100,429,8.855032,7,0,0
2,france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.5,0.5,0.004843256,562819.6055,0.601530227,0,100,464,43.5791716,7,0,0
3,france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.5,0.5,0.004850427,563531.01,0.601026561,0,100,459,39.3887761,7,0,0
4,france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.5,0.5,0.004841418,562699.8746,0.601614995,0,100,440,19.7302566,7,0,0
5,france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.5,0.5,0.004848539,563391.3257,0.601125456,0,100,445,24.8238428,7,0,0
1,france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.5,0.5,0.006945548,793334.8972,0.709020394,0,100,581,40.7589302,9,0,0
2,france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.5,0.5,0.006965956,795432.8313,0.708250913,0,100,495,14.8248329,8,0,0
3,france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.5,0.5,0.006955111,794089.4708,0.708743631,0,100,507,27.3504967,8,0,0
4,france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.5,0.5,0.006955863,794142.8784,0.708724042,0,100,490,9.5867886,8,0,0
5,france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.5,0.5,0.006968234,795565.795,0.708202145,0,100,504,24.3020989,8,0,0
1,france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.5,0.5,0.011305292,1.71E+06,0.844711908,0,100,168,48.483019,2,0,0
2,france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.5,0.5,0.011317687,1.71E+06,0.844650568,0,100,190,10.2014015,3,0,0
3,france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.5,0.5,0.011324297,1.72E+06,0.844613783,0,100,184,3.7363578,3,0,0
4,france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.5,0.5,0.011315793,1.71E+06,0.844659529,0,100,173,53.4551737,2,0,0
5,france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.5,0.5,0.0113111,1.71E+06,0.844682998,0,100,169,48.7815278,2,0,0
1,france,20010126,20020505,11.8,5,14,200,0.01,1,4,0.5,0.5,0.013306081,2.03E+06,0.77876243,0,100,185,4.5217442,3,0,0
2,france,20010126,20020505,11.8,5,14,200,0.01,1,4,0.5,0.5,0.013302277,2.03E+06,0.778784684,0,100,176,55.6066104,2,0,0
3,france,20010126,20020505,11.8,5,14,200,0.01,1,4,0.5,0.5,0.013293799,2.03E+06,0.778875378,0,100,178,58.2511754,2,0,0
4,france,20010126,20020505,11.8,5,14,200,0.01,1,4,0.5,0.5,0.013307876,2.03E+06,0.778751204,0,100,175,54.7235145,2,0,0
5,france,20010126,20020505,11.8,5,14,200,0.01,1,4,0.5,0.5,0.013296397,2.03E+06,0.778859773,0,100,177,56.8194637,2,0,0
1,france,20010126,20020505,11.8,6,14,200,0.01,1,4,0.5,0.5,0.009008884,1.07E+06,0.7581764,0,100,711,50.841468,11,0,0
2,france,20010126,20020505,11.8,6,14,200,0.01,1,4,0.5,0.5,0.009012065,1.07E+06,0.758141953,0,100,710,50.3709964,11,0,0
3,france,20010126,20020505,11.8,6,14,200,0.01,1,4,0.5,0.5,0.009016367,1.07E+06,0.758087994,0,100,915,14.911508,15,0,0
4,france,20010126,20020505,11.8,6,14,200,0.01,1,4,0.5,0.5,0.009010445,1.07E+06,0.758156507,0,100,721,1.1178245,12,0,0
5,france,20010126,20020505,11.8,6,14,200,0.01,1,4,0.5,0.5,0.009001839,1.07E+06,0.758279828,0,100,769,49.1024936,12,0,0
1,france,20010126,20020129,15.94,1,14,200,0.01,1,4,0.5,0.5,0.000865868,80107.06896,0.645797662,0,100,653,53.0221465,10,0,0
2,france,20010126,20020129,15.94,1,14,200,0.01,1,4,0.5,0.5,0.000867924,80282.26916,0.645022995,0,100,686,26.3395785,11,0,0
3,france,20010126,20020129,15.94,1,14,200,0.01,1,4,0.5,0.5,0.000866963,80206.24217,0.645359156,0,100,691,31.4487687,11,0,0
4,france,20010126,20020129,15.94,1,14,200,0.01,1,4,0.5,0.5,0.000868894,80355.48743,0.644699252,0,100,651,51.462648,10,0,0
5,france,20010126,20020129,15.94,1,14,200,0.01,1,4,0.5,0.5,0.000865882,80109.88786,0.645785198,0,100,642,42.4097162,10,0,0
1,france,20010126,20020129,15.94,2,14,200,0.01,1,4,0.5,0.5,0.001063614,110929.728,0.819264968,0,100,594,54.392763,9,0,0
2,france,20010126,20020129,15.94,2,14,200,0.01,1,4,0.5,0.5,0.001063218,110904.8847,0.819305444,0,100,589,49.0399238,9,0,0
3,france,20010126,20020129,15.94,2,14,200,0.01,1,4,0.5,0.5,0.00106397,110964.9361,0.819207604,0,100,600,0.0050755,10,0,0
4,france,20010126,20020129,15.94,2,14,200,0.01,1,4,0.5,0.5,0.001063516,110918.1697,0.819283799,0,100,593,52.5854594,9,0,0
5,france,20010126,20020129,15.94,2,14,200,0.01,1,4,0.5,0.5,0.001063504,110919.5548,0.819281542,0,100,591,51.4932137,9,0,0
1,france,20010126,20020129,15.94,3,14,200,0.01,1,4,0.5,0.5,0.001544056,162529.6759,0.856581728,0,100,823,43.1470023,13,0,0
2,france,20010126,20020129,15.94,3,14,200,0.01,1,4,0.5,0.5,0.001544358,162543.8668,0.856569205,0,100,850,10.2402612,14,0,0
3,france,20010126,20020129,15.94,3,14,200,0.01,1,4,0.5,0.5,0.001544189,162534.8512,0.856577161,0,100,830,49.6277736,13,0,0
4,france,20010126,20020129,15.94,3,14,200,0.01,1,4,0.5,0.5,0.001543634,162507.3826,0.8566014,0,100,830,50.1177067,13,0,0
5,france,20010126,20020129,15.94,3,14,200,0.01,1,4,0.5,0.5,0.001542932,162443.7332,0.856657565,0,100,832,51.999489,13,0,0
1,france,20010126,20020129,15.94,4,14,200,0.01,1,4,0.5,0.5,0.001524641,249534.75,0.957046176,0,100,660,0.3874447,11,0,0
2,france,20010126,20020129,15.94,4,14,200,0.01,1,4,0.5,0.5,0.001530627,250064.8776,0.956954922,0,100,663,2.9246287,11,0,0
3,france,20010126,20020129,15.94,4,14,200,0.01,1,4,0.5,0.5,0.001530063,250033.4685,0.956960329,0,100,657,57.3539482,10,0,0
4,france,20010126,20020129,15.94,4,14,200,0.01,1,4,0.5,0.5,0.001526117,249647.7602,0.957026723,0,100,664,4.015664,11,0,0
5,france,20010126,20020129,15.94,4,14,200,0.01,1,4,0.5,0.5,0.00152824,249842.3434,0.956993228,0,100,664,4.1984446,11,0,0
1,france,20010126,20020129,15.94,5,14,200,0.01,1,4,0.5,0.5,0.002303987,357675.0147,0.915359121,0,100,1051,31.0938584,17,0,0
2,france,20010126,20020129,15.94,5,14,200,0.01,1,4,0.5,0.5,0.002303557,357644.6393,0.915366309,0,100,1060,39.8874901,17,0,0
3,france,20010126,20020129,15.94,5,14,200,0.01,1,4,0.5,0.5,0.00231411,359577.2054,0.914908983,0,100,1059,39.1601262,17,0,0
4,france,20010126,20020129,15.94,5,14,200,0.01,1,4,0.5,0.5,0.002314043,359587.1801,0.914906623,0,100,1060,39.6593295,17,0,0
5,france,20010126,20020129,15.94,5,14,200,0.01,1,4,0.5,0.5,0.002317324,359758.0593,0.914866186,0,100,1057,37.0933151,17,0,0
1,france,20010126,20020129,15.94,6,14,200,0.01,1,4,0.5,0.5,0.002341885,261292.2673,0.866808269,0,100,1771,30.6949177,29,0,0
2,france,20010126,20020129,15.94,6,14,200,0.01,1,4,0.5,0.5,0.002340659,261185.4229,0.866862733,0,100,1769,29.3218858,29,0,0
3,france,20010126,20020129,15.94,6,14,200,0.01,1,4,0.5,0.5,0.00234307,261477.2876,0.866713957,0,100,1762,22.3606995,29,0,0
