Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.5,0.5,0.00282207,304642.4854,0.376129176,0,100,368,19.71754422,5.8,0,0
france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.5,0.5,0.004846863,563198.5792,0.601261918,0,100,447.4,27.27541582,7,0,0
france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.5,0.5,0.006958142,794513.1745,0.708588225,0,100,515.4,23.36462946,8.2,0,0
france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.5,0.5,0.011314834,1.71E+06,0.844663757,0,100,176.8,32.93149596,2.4,0,0
france,20010126,20020505,11.8,5,14,200,0.01,1,4,0.5,0.5,0.013301286,2.03E+06,0.778806694,0,100,178.2,45.98450164,2.2,0,0
france,20010126,20020505,11.8,6,14,200,0.01,1,4,0.5,0.5,0.00900992,1.07E+06,0.758168537,0,100,765.2,33.2688581,12.2,0,0
france,20010126,20020129,15.94,1,14,200,0.01,1,4,0.5,0.5,0.000867106,80212.19112,0.645332852,0,100,664.6,40.93657158,10.4,0,0
france,20010126,20020129,15.94,2,14,200,0.01,1,4,0.5,0.5,0.001063564,110927.4547,0.819268671,0,100,593.4,41.50328708,9.2,0,0
france,20010126,20020129,15.94,3,14,200,0.01,1,4,0.5,0.5,0.001543834,162511.9019,0.856597412,0,100,833,41.02644656,13.2,0,0
france,20010126,20020129,15.94,4,14,200,0.01,1,4,0.5,0.5,0.001527938,249824.6399,0.956996276,0,100,661.6,13.77602604,10.8,0,0
france,20010126,20020129,15.94,5,14,200,0.01,1,4,0.5,0.5,0.002310604,358848.4198,0.915081444,0,100,1057.4,37.37882386,17,0,0
france,20010126,20020129,15.94,6,14,200,0.01,1,4,0.5,0.5,0.002342602,261378.4865,0.86676432,0,100,1772.2,32.14117992,29,0,0
france,20010126,20030217,27.26,1,14,200,0.01,1,4,0.5,0.5,0.002583815,263746.2258,0.377752409,0,100,839.8,35.93652188,13.4,0,0
france,20010126,20030217,27.26,2,14,200,0.01,1,4,0.5,0.5,0.004549728,520219.5214,0.570494564,0,100,848.8,32.89412308,13.6,0,0
france,20010126,20030217,27.26,3,14,200,0.01,1,4,0.5,0.5,0.007522947,835046.283,0.634669008,0,100,1216,27.97278634,19.8,0,0
france,20010126,20030217,27.26,4,14,200,0.01,1,4,0.5,0.5,0.012837211,2.11E+06,0.796149539,0,100,1791.6,27.783693,29.4,0,0
france,20010126,20030217,27.26,5,14,200,0.01,1,4,0.5,0.5,0.016542928,2.47E+06,0.692994613,0,100,1001,41.0193619,16,0,0
france,20010126,20030217,27.26,6,14,200,0.01,1,4,0.5,0.5,0.011829778,1.36E+06,0.635842247,0,100,2374,33.88237116,39,0,0
france,20010126,20020419,34.76,1,14,200,0.01,1,4,0.5,0.5,0.004547491,463896.6638,-0.057565725,0,100,388.8,28.52288582,6,0,0
france,20010126,20020419,34.76,2,14,200,0.01,1,4,0.5,0.5,0.014268887,1.44E+06,-0.20648956,0,100,611.8,23.9010082,9.8,0,0
france,20010126,20020419,34.76,3,14,200,0.01,1,4,0.5,0.5,0.029012532,2.81E+06,-0.226499822,0,100,856.2,16.13181138,14,0,0
france,20010126,20020419,34.76,4,14,200,0.01,1,4,0.5,0.5,0.117621962,1.41E+07,-0.325716596,0,100,713.2,41.11836014,11.2,0,0
france,20010126,20020419,34.76,5,14,200,0.01,1,4,0.5,0.5,0.089926813,1.03E+07,-0.261220201,0,100,1522.8,22.80378206,25,0,0
france,20010126,20020419,34.76,6,14,200,0.01,1,4,0.5,0.5,0.049766223,4.78E+06,-0.261162213,0,100,3079,31.14057968,50.8,0,0
