Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20010126,20020505,11.8,1,14,200,0.005,1,0,0.005725175,575138.8141,-0.177814466,0,100,45,44.669916,0,0,0
1,france,20010126,20020505,11.8,1,14,200,0.005,1,2,0.004583914,494745.4315,-0.013178578,0,100,108,48.270195,1,0,0
1,france,20010126,20020505,11.8,1,14,200,0.005,1,4,0.004061252,436163.6059,0.106789888,0,100,135,15.4449707,2,0,0
1,france,20010126,20020505,11.8,1,14,200,0.005,1,6,0.004397982,461530.5301,0.054841507,0,100,193,12.5973768,3,0,0
1,france,20010126,20020505,11.8,2,14,200,0.005,1,0,0.015197249,1.56E+06,-0.106455067,0,100,34,34.112037,0,0,0
1,france,20010126,20020505,11.8,2,14,200,0.005,1,2,0.009282395,1.10E+06,0.22229747,0,100,75,14.5225945,1,0,0
1,france,20010126,20020505,11.8,2,14,200,0.005,1,4,0.007845821,922082.0018,0.347176605,0,100,86,26.1248844,1,0,0
1,france,20010126,20020505,11.8,2,14,200,0.005,1,6,0.008742143,1.03E+06,0.274166959,0,100,107,46.6337625,1,0,0
1,france,20010126,20020505,11.8,3,14,200,0.005,1,0,0.028740519,2.86E+06,-0.049505453,0,100,58,57.6290182,0,0,0
1,france,20010126,20020505,11.8,3,14,200,0.005,1,2,0.014658785,1.78E+06,0.345987799,0,100,122,2.3296232,2,0,0
1,france,20010126,20020505,11.8,3,14,200,0.005,1,4,0.013666611,1.61E+06,0.410942281,0,100,140,20.4173206,2,0,0
1,france,20010126,20020505,11.8,3,14,200,0.005,1,6,0.014192442,1.66E+06,0.391918864,0,100,173,53.311753,2,0,0
1,france,20010126,20020505,11.8,4,14,200,0.005,1,0,0.09636121,1.19E+07,-0.074080669,0,100,30,30.2925205,0,0,0
1,france,20010126,20020505,11.8,4,14,200,0.005,1,2,0.023768443,3.63E+06,0.670715865,0,100,65,4.5893687,1,0,0
1,france,20010126,20020505,11.8,4,14,200,0.005,1,4,0.024089589,3.51E+06,0.682315504,0,100,74,14.2570224,1,0,0
1,france,20010126,20020505,11.8,4,14,200,0.005,1,6,0.023821681,3.48E+06,0.684303425,0,100,90,30.121083,1,0,0
1,france,20010126,20020505,11.8,5,14,200,0.005,1,0,0.081677982,9.71E+06,-0.059309635,0,100,45,44.5496002,0,0,0
1,france,20010126,20020505,11.8,5,14,200,0.005,1,2,0.029311047,4.50E+06,0.508777253,0,100,89,28.5299705,1,0,0
1,france,20010126,20020505,11.8,5,14,200,0.005,1,4,0.023962104,3.68E+06,0.598797473,0,100,106,46.0778432,1,0,0
1,france,20010126,20020505,11.8,5,14,200,0.005,1,6,0.026863553,4.03E+06,0.559850137,0,100,118,58.0540423,1,0,0
1,france,20010126,20020505,11.8,6,14,200,0.005,1,0,0.046876748,4.71E+06,-0.068692514,0,100,80,19.7877219,1,0,0
1,france,20010126,20020505,11.8,6,14,200,0.005,1,2,0.019631934,2.32E+06,0.474631269,0,100,156,36.4979437,2,0,0
1,france,20010126,20020505,11.8,6,14,200,0.005,1,4,0.018553148,2.24E+06,0.491323829,0,100,172,52.0011403,2,0,0
1,france,20010126,20020505,11.8,6,14,200,0.005,1,6,0.017637352,2.08E+06,0.527347095,0,100,215,34.7955641,3,0,0
1,france,20010126,20020129,15.94,1,14,200,0.005,1,0,0.001543597,144897.8556,0.359317974,0,100,259,19.3223388,4,0,0
1,france,20010126,20020129,15.94,1,14,200,0.005,1,2,0.001017163,96038.89017,0.575353338,0,100,328,28.1058856,5,0,0
1,france,20010126,20020129,15.94,1,14,200,0.005,1,4,0.000992345,92865.29374,0.589385748,0,100,370,9.9152796,6,0,0
1,france,20010126,20020129,15.94,1,14,200,0.005,1,6,0.0010093,94892.30232,0.580423104,0,100,428,7.5522301,7,0,0
1,france,20010126,20020129,15.94,2,14,200,0.005,1,0,0.002824818,282156.9913,0.540288669,0,100,206,26.1600611,3,0,0
1,france,20010126,20020129,15.94,2,14,200,0.005,1,2,0.001264475,136087.6409,0.778275809,0,100,242,1.5724164,4,0,0
1,france,20010126,20020129,15.94,2,14,200,0.005,1,4,0.001233883,131796.9276,0.785266561,0,100,264,24.404725,4,0,0
1,france,20010126,20020129,15.94,2,14,200,0.005,1,6,0.001245227,133372.7046,0.782699187,0,100,275,35.1251488,4,0,0
1,france,20010126,20020129,15.94,3,14,200,0.005,1,0,0.004638894,462806.0929,0.591613963,0,100,313,12.8263867,5,0,0
1,france,20010126,20020129,15.94,3,14,200,0.005,1,2,0.00212109,233382.4957,0.79406029,0,100,397,36.816507,6,0,0
1,france,20010126,20020129,15.94,3,14,200,0.005,1,4,0.002015759,219124.3111,0.806641895,0,100,430,9.9472831,7,0,0
1,france,20010126,20020129,15.94,3,14,200,0.005,1,6,0.001963295,210007.4839,0.8146867,0,100,495,14.8361291,8,0,0
1,france,20010126,20020129,15.94,4,14,200,0.005,1,0,0.014031834,1.74E+06,0.700056399,0,100,143,23.4179712,2,0,0
1,france,20010126,20020129,15.94,4,14,200,0.005,1,2,0.002189155,365374.1472,0.937106087,0,100,160,40.3713061,2,0,0
1,france,20010126,20020129,15.94,4,14,200,0.005,1,4,0.002100562,351551.0373,0.939485537,0,100,162,41.5534314,2,0,0
1,france,20010126,20020129,15.94,4,14,200,0.005,1,6,0.001980691,328122.9542,0.943518345,0,100,172,51.7382306,2,0,0
1,france,20010126,20020129,15.94,5,14,200,0.005,1,0,0.012367257,1.50E+06,0.645181243,0,100,349,48.787545,5,0,0
1,france,20010126,20020129,15.94,5,14,200,0.005,1,2,0.003336025,521112.3462,0.876683008,0,100,381,20.817781,6,0,0
1,france,20010126,20020129,15.94,5,14,200,0.005,1,4,0.003300316,514119.9873,0.878337693,0,100,392,32.0589361,6,0,0
1,france,20010126,20020129,15.94,5,14,200,0.005,1,6,0.003224508,501987.1746,0.881208824,0,100,415,54.5746058,6,0,0
1,france,20010126,20020129,15.94,6,14,200,0.005,1,0,0.007687226,785374.1645,0.599661539,0,100,606,5.9992786,10,0,0
1,france,20010126,20020129,15.94,6,14,200,0.005,1,2,0.003238701,374430.3343,0.809137007,0,100,706,46.4260472,11,0,0
1,france,20010126,20020129,15.94,6,14,200,0.005,1,4,0.003196129,370515.6591,0.811132483,0,100,743,23.2245788,12,0,0
1,france,20010126,20020129,15.94,6,14,200,0.005,1,6,0.003221924,372569.4664,0.81008557,0,100,800,19.5257446,13,0,0
1,france,20010126,20030217,27.26,1,14,200,0.005,1,0,0.004434355,437236.7833,-0.031558022,0,100,190,9.7986279,3,0,0
1,france,20010126,20030217,27.26,1,14,200,0.005,1,2,0.003316739,343970.7242,0.188481452,0,100,279,38.5177878,4,0,0
1,france,20010126,20030217,27.26,1,14,200,0.005,1,4,0.003454743,362660.6244,0.144386999,0,100,319,18.6615719,5,0,0
1,france,20010126,20030217,27.26,1,14,200,0.005,1,6,0.003519345,369439.6013,0.128393587,0,100,403,42.7213106,6,0,0
1,france,20010126,20030217,27.26,2,14,200,0.005,1,0,0.011983741,1.21E+06,0.004300037,0,100,152,32.0189376,2,0,0
1,france,20010126,20030217,27.26,2,14,200,0.005,1,2,0.006011309,695905.2513,0.425444306,0,100,208,27.9437818,3,0,0
1,france,20010126,20030217,27.26,2,14,200,0.005,1,4,0.005879992,685494.0195,0.434040063,0,100,220,40.0481112,3,0,0
1,france,20010126,20030217,27.26,2,14,200,0.005,1,6,0.006400697,748210.3118,0.382260022,0,100,270,29.7447929,4,0,0
