Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20010126,20020505,11.8,1,14,1,0.005,1,4,0.004417349,466704.1144,0.044246635,0,100,1085,4.6087721,18,0,0
1,france,20010126,20020505,11.8,1,14,50,0.005,1,4,0.004332236,468877.4106,0.039795988,0,100,402,41.8031672,6,0,0
1,france,20010126,20020505,11.8,1,14,100,0.005,1,4,0.003806891,410219.222,0.159920837,0,100,243,3.3037328,4,0,0
1,france,20010126,20020505,11.8,1,14,150,0.005,1,4,0.004338999,463553.0139,0.050699706,0,100,195,14.905465,3,0,0
1,france,20010126,20020505,11.8,1,14,200,0.005,1,4,0.004061252,436163.6059,0.106789888,0,100,135,14.5333118,2,0,0
1,france,20010126,20020505,11.8,2,14,1,0.005,1,4,0.008097615,928628.1821,0.342541985,0,100,944,43.7774263,15,0,0
1,france,20010126,20020505,11.8,2,14,50,0.005,1,4,0.008054816,954808.5178,0.32400661,0,100,204,23.732214,3,0,0
1,france,20010126,20020505,11.8,2,14,100,0.005,1,4,0.008255215,967409.5779,0.315085205,0,100,126,6.2038081,2,0,0
1,france,20010126,20020505,11.8,2,14,150,0.005,1,4,0.007683345,896722.3592,0.365130938,0,100,94,34.4062136,1,0,0
1,france,20010126,20020505,11.8,2,14,200,0.005,1,4,0.007845821,922082.0018,0.347176605,0,100,84,24.2850237,1,0,0
1,france,20010126,20020505,11.8,3,14,1,0.005,1,4,0.013816341,1.63E+06,0.402078113,0,100,990,30.4352266,16,0,0
1,france,20010126,20020505,11.8,3,14,50,0.005,1,4,0.015436737,1.87E+06,0.315686789,0,100,307,7.3954079,5,0,0
1,france,20010126,20020505,11.8,3,14,100,0.005,1,4,0.013726303,1.63E+06,0.400670373,0,100,212,32.2187532,3,0,0
1,france,20010126,20020505,11.8,3,14,150,0.005,1,4,0.013455347,1.59E+06,0.416166361,0,100,154,33.8226465,2,0,0
1,france,20010126,20020505,11.8,3,14,200,0.005,1,4,0.013666611,1.61E+06,0.410942281,0,100,142,21.6678302,2,0,0
1,france,20010126,20020505,11.8,4,14,1,0.005,1,4,0.016438038,2.70E+06,0.75531974,0,100,661,1.2159727,11,0,0
1,france,20010126,20020505,11.8,4,14,50,0.005,1,4,0.019386832,2.84E+06,0.742351036,0,100,114,53.6272846,1,0,0
1,france,20010126,20020505,11.8,4,14,100,0.005,1,4,0.025274739,3.63E+06,0.670768118,0,100,77,17.1107105,1,0,0
1,france,20010126,20020505,11.8,4,14,150,0.005,1,4,0.022911943,3.33E+06,0.697977743,0,100,67,7.4469433,1,0,0
1,france,20010126,20020505,11.8,4,14,200,0.005,1,4,0.024089589,3.51E+06,0.682315504,0,100,73,13.2928678,1,0,0
1,france,20010126,20020505,11.8,5,14,1,0.005,1,4,0.024601289,3.66E+06,0.600555964,0,100,736,15.6805641,12,0,0
1,france,20010126,20020505,11.8,5,14,50,0.005,1,4,0.024352511,3.77E+06,0.588733753,0,100,131,10.8501524,2,0,0
1,france,20010126,20020505,11.8,5,14,100,0.005,1,4,0.0257332,3.87E+06,0.577971353,0,100,111,50.9388242,1,0,0
1,france,20010126,20020505,11.8,5,14,150,0.005,1,4,0.023961096,3.65E+06,0.601082385,0,100,105,45.4219636,1,0,0
1,france,20010126,20020505,11.8,5,14,200,0.005,1,4,0.023962104,3.68E+06,0.598797473,0,100,109,48.6532071,1,0,0
1,france,20010126,20020505,11.8,6,14,1,0.005,1,4,0.018557976,2.26E+06,0.486596968,0,100,910,9.8487138,15,0,0
1,france,20010126,20020505,11.8,6,14,50,0.005,1,4,0.015810524,1.86E+06,0.578948321,0,100,317,16.5743067,5,0,0
1,france,20010126,20020505,11.8,6,14,100,0.005,1,4,0.017287334,2.02E+06,0.541837601,0,100,224,43.6116435,3,0,0
1,france,20010126,20020505,11.8,6,14,150,0.005,1,4,0.017867734,2.17E+06,0.508125634,0,100,181,1.0440184,3,0,0
1,france,20010126,20020505,11.8,6,14,200,0.005,1,4,0.018553148,2.24E+06,0.491323829,0,100,184,3.7038849,3,0,0
1,france,20010126,20020129,15.94,1,14,1,0.005,1,4,0.001227582,113798.8547,0.496825674,0,100,1706,26.100054,28,0,0
