Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.004117489,441796.8336,0.095253722,0,100,120,59.9775048,1,0,0
1,france,20010126,20020505,11.8,1,14,200,0.007,1,4,0.004093692,439631.9602,0.09968712,0,100,121,0.6776236,2,0,0
1,france,20010126,20020505,11.8,1,14,200,0.005,1,4,0.004061252,436163.6059,0.106789888,0,100,131,11.4742766,2,0,0
1,france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.007830886,921585.3606,0.347528221,0,100,76,16.2095118,1,0,0
1,france,20010126,20020505,11.8,2,14,200,0.007,1,4,0.007849404,922671.9855,0.346758903,0,100,80,20.0560424,1,0,0
1,france,20010126,20020505,11.8,2,14,200,0.005,1,4,0.007845821,922082.0018,0.347176605,0,100,84,24.1467345,1,0,0
1,france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.01365096,1.60E+06,0.411393886,0,100,103,43.2183256,1,0,0
1,france,20010126,20020505,11.8,3,14,200,0.007,1,4,0.013676813,1.61E+06,0.410588768,0,100,126,5.8571807,2,0,0
1,france,20010126,20020505,11.8,3,14,200,0.005,1,4,0.013666611,1.61E+06,0.410942281,0,100,138,18.0531621,2,0,0
1,france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.024030646,3.50E+06,0.682955298,0,100,64,3.657542,1,0,0
1,france,20010126,20020505,11.8,4,14,200,0.007,1,4,0.024086905,3.51E+06,0.682229107,0,100,76,15.6735777,1,0,0
1,france,20010126,20020505,11.8,4,14,200,0.005,1,4,0.024089589,3.51E+06,0.682315504,0,100,76,15.6183137,1,0,0
1,france,20010126,20020505,11.8,5,14,200,0.01,1,4,0.024234292,3.72E+06,0.594126133,0,100,67,7.463332,1,0,0
1,france,20010126,20020505,11.8,5,14,200,0.007,1,4,0.023962104,3.68E+06,0.598797473,0,100,104,43.5824711,1,0,0
1,france,20010126,20020505,11.8,5,14,200,0.005,1,4,0.023962104,3.68E+06,0.598797473,0,100,103,42.6865363,1,0,0
1,france,20010126,20020505,11.8,6,14,200,0.01,1,4,0.018491101,2.23E+06,0.494395042,0,100,95,35.1749407,1,0,0
1,france,20010126,20020505,11.8,6,14,200,0.007,1,4,0.018539182,2.24E+06,0.491872956,0,100,158,37.5511141,2,0,0
1,france,20010126,20020505,11.8,6,14,200,0.005,1,4,0.018553148,2.24E+06,0.491323829,0,100,180,0.3786209,3,0,0
1,france,20010126,20020129,15.94,1,14,200,0.01,1,4,0.000997476,93165.86454,0.588056741,0,100,349,49.1640576,5,0,0
1,france,20010126,20020129,15.94,1,14,200,0.007,1,4,0.000994905,92983.13956,0.58886468,0,100,359,59.2402481,5,0,0
1,france,20010126,20020129,15.94,1,14,200,0.005,1,4,0.000992345,92865.29374,0.589385748,0,100,368,7.9751836,6,0,0
1,france,20010126,20020129,15.94,2,14,200,0.01,1,4,0.001233377,131765.3516,0.785318007,0,100,243,2.9879079,4,0,0
1,france,20010126,20020129,15.94,2,14,200,0.007,1,4,0.001232089,131672.5657,0.785469181,0,100,244,3.7100616,4,0,0
1,france,20010126,20020129,15.94,2,14,200,0.005,1,4,0.001233883,131796.9276,0.785266561,0,100,258,17.7229207,4,0,0
1,france,20010126,20020129,15.94,3,14,200,0.01,1,4,0.002023224,219529.7885,0.806284097,0,100,353,52.9850129,5,0,0
1,france,20010126,20020129,15.94,3,14,200,0.007,1,4,0.002016918,219199.5972,0.806575462,0,100,414,53.9707765,6,0,0
1,france,20010126,20020129,15.94,3,14,200,0.005,1,4,0.002015759,219124.3111,0.806641895,0,100,430,9.797187,7,0,0
1,france,20010126,20020129,15.94,4,14,200,0.01,1,4,0.002107664,351930.1508,0.939420278,0,100,88,27.900968,1,0,0
1,france,20010126,20020129,15.94,4,14,200,0.007,1,4,0.002102246,351644.311,0.939469481,0,100,162,41.8788196,2,0,0
1,france,20010126,20020129,15.94,4,14,200,0.005,1,4,0.002100562,351551.0373,0.939485537,0,100,159,39.0997262,2,0,0
1,france,20010126,20020129,15.94,5,14,200,0.01,1,4,0.003323842,515681.3798,0.877968202,0,100,180,59.6582262,2,0,0
1,france,20010126,20020129,15.94,5,14,200,0.007,1,4,0.00330052,514130.941,0.8783351,0,100,396,35.6785643,6,0,0
1,france,20010126,20020129,15.94,5,14,200,0.005,1,4,0.003300316,514119.9873,0.878337693,0,100,390,29.8285037,6,0,0
1,france,20010126,20020129,15.94,6,14,200,0.01,1,4,0.003197033,370562.01,0.811108856,0,100,727,6.9328961,12,0,0
1,france,20010126,20020129,15.94,6,14,200,0.007,1,4,0.003197379,370580.7321,0.811099312,0,100,729,9.0144995,12,0,0
1,france,20010126,20020129,15.94,6,14,200,0.005,1,4,0.003196129,370515.6591,0.811132483,0,100,731,11.1811436,12,0,0
1,france,20010126,20030217,27.26,1,14,200,0.01,1,4,0.003424375,359998.5413,0.150667562,0,100,296,56.3272943,4,0,0
1,france,20010126,20030217,27.26,1,14,200,0.007,1,4,0.003371627,354279.1702,0.164161082,0,100,301,0.6969732,5,0,0
1,france,20010126,20030217,27.26,1,14,200,0.005,1,4,0.003454743,362660.6244,0.144386999,0,100,333,32.5781904,5,0,0
1,france,20010126,20030217,27.26,2,14,200,0.01,1,4,0.006007671,698829.9428,0.423029612,0,100,205,24.957424,3,0,0
1,france,20010126,20030217,27.26,2,14,200,0.007,1,4,0.006055934,705156.4791,0.417806276,0,100,207,27.0333087,3,0,0
1,france,20010126,20030217,27.26,2,14,200,0.005,1,4,0.005879992,685494.0195,0.434040063,0,100,224,43.8046623,3,0,0
1,france,20010126,20030217,27.26,3,14,200,0.01,1,4,0.010476491,1.20E+06,0.475206275,0,100,296,56.0356838,4,0,0
1,france,20010126,20030217,27.26,3,14,200,0.007,1,4,0.010550903,1.21E+06,0.470736249,0,100,353,53.0236709,5,0,0
1,france,20010126,20030217,27.26,3,14,200,0.005,1,4,0.010537659,1.21E+06,0.472001863,0,100,370,10.0146228,6,0,0
1,france,20010126,20030217,27.26,4,14,200,0.01,1,4,0.025439451,3.72E+06,0.641063992,0,100,179,59.2631435,2,0,0
1,france,20010126,20030217,27.26,4,14,200,0.007,1,4,0.025780591,3.75E+06,0.637716091,0,100,197,17.3573274,3,0,0
1,france,20010126,20030217,27.26,4,14,200,0.005,1,4,0.025540121,3.73E+06,0.640056428,0,100,206,25.8795763,3,0,0
1,france,20010126,20030217,27.26,5,14,200,0.01,1,4,0.034131813,4.53E+06,0.436344283,0,100,218,38.4519908,3,0,0
1,france,20010126,20030217,27.26,5,14,200,0.007,1,4,0.033944751,4.51E+06,0.438712846,0,100,406,45.6847853,6,0,0
1,france,20010126,20030217,27.26,5,14,200,0.005,1,4,0.033944713,4.51E+06,0.438711811,0,100,404,43.8978019,6,0,0
1,france,20010126,20030217,27.26,6,14,200,0.01,1,4,0.021027991,2.29E+06,0.388199542,0,100,648,48.1086555,10,0,0
1,france,20010126,20030217,27.26,6,14,200,0.007,1,4,0.021026287,2.29E+06,0.388229353,0,100,711,50.6343902,11,0,0
1,france,20010126,20030217,27.26,6,14,200,0.005,1,4,0.021026035,2.29E+06,0.388233243,0,100,682,22.0654604,11,0,0
1,france,20010126,20020419,34.76,1,14,200,0.01,1,4,0.004856328,490276.0133,-0.117703894,0,100,144,23.9610972,2,0,0
1,france,20010126,20020419,34.76,1,14,200,0.007,1,4,0.005027669,505185.5962,-0.151693929,0,100,138,18.3103135,2,0,0
1,france,20010126,20020419,34.76,1,14,200,0.005,1,4,0.004880707,492303.0731,-0.122325072,0,100,156,36.1239069,2,0,0
1,france,20010126,20020419,34.76,2,14,200,0.01,1,4,0.013872848,1.41E+06,-0.18092059,0,100,124,3.5792162,2,0,0
1,france,20010126,20020419,34.76,2,14,200,0.007,1,4,0.01424091,1.44E+06,-0.204965886,0,100,133,12.8368313,2,0,0
1,france,20010126,20020419,34.76,2,14,200,0.005,1,4,0.014098786,1.43E+06,-0.195762785,0,100,141,20.6785426,2,0,0
1,france,20010126,20020419,34.76,3,14,200,0.01,1,4,0.02871996,2.79E+06,-0.217497258,0,100,217,36.8245872,3,0,0
1,france,20010126,20020419,34.76,3,14,200,0.007,1,4,0.028537751,2.78E+06,-0.212189306,0,100,232,51.9091436,3,0,0
1,france,20010126,20020419,34.76,3,14,200,0.005,1,4,0.028408125,2.77E+06,-0.207918221,0,100,250,9.7523777,4,0,0
1,france,20010126,20020419,34.76,4,14,200,0.01,1,4,0.114988013,1.39E+07,-0.306020018,0,100,103,42.5977109,1,0,0
1,france,20010126,20020419,34.76,4,14,200,0.007,1,4,0.114246995,1.38E+07,-0.300484451,0,100,107,47.111549,1,0,0
1,france,20010126,20020419,34.76,4,14,200,0.005,1,4,0.114185555,1.38E+07,-0.299739405,0,100,119,58.8550815,1,0,0
1,france,20010126,20020419,34.76,5,14,200,0.01,1,4,0.089335005,1.02E+07,-0.255722754,0,100,260,19.5969759,4,0,0
1,france,20010126,20020419,34.76,5,14,200,0.007,1,4,0.089227105,1.02E+07,-0.254764803,0,100,276,36.3001818,4,0,0
1,france,20010126,20020419,34.76,5,14,200,0.005,1,4,0.089141848,1.02E+07,-0.253959749,0,100,284,44.3637301,4,0,0
1,france,20010126,20020419,34.76,6,14,200,0.01,1,4,0.049176899,4.73E+06,-0.249755682,0,100,544,4.4846863,9,0,0
