Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.004117489,441796.8336,0.095253722,0,100,122,1.5773954,2,0,0
2,france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.004061431,436165.2854,0.106786449,0,100,119,58.8425768,1,0,0
3,france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.004033741,433189.7236,0.112880038,0,100,125,4.5535758,2,0,0
4,france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.004094604,439339.7003,0.100285633,0,100,127,7.111633,2,0,0
5,france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.004112131,441323.0809,0.09622391,0,100,119,58.8419504,1,0,0
1,france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.007830886,921585.3606,0.347528221,0,100,75,14.7236895,1,0,0
2,france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.007855074,922899.8053,0.346597609,0,100,73,13.3543778,1,0,0
3,france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.007927857,930080.8404,0.341513519,0,100,72,11.9619255,1,0,0
4,france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.007885858,926663.3033,0.343933096,0,100,77,17.0375926,1,0,0
5,france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.007812633,918391.6627,0.349789322,0,100,77,16.6882045,1,0,0
1,france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.01365096,1.60E+06,0.411393886,0,100,107,47.094235,1,0,0
2,france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.013727529,1.61E+06,0.408967696,0,100,102,42.4995841,1,0,0
3,france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.013738501,1.61E+06,0.409087434,0,100,113,53.1539427,1,0,0
4,france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.013661407,1.61E+06,0.410878515,0,100,106,45.6180131,1,0,0
5,france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.013691277,1.61E+06,0.409983,0,100,104,44.4345852,1,0,0
1,france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.024030646,3.50E+06,0.682955298,0,100,64,3.9864428,1,0,0
2,france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.024081842,3.51E+06,0.682454152,0,100,68,7.7619824,1,0,0
3,france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.024092985,3.51E+06,0.68225992,0,100,67,6.7557592,1,0,0
4,france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.023985631,3.50E+06,0.683253585,0,100,63,3.1472299,1,0,0
5,france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.024092254,3.51E+06,0.682126616,0,100,64,3.6511039,1,0,0
1,france,20010126,20020505,11.8,5,14,200,0.01,1,4,0.024234292,3.72E+06,0.594126133,0,100,68,8.3439027,1,0,0
2,france,20010126,20020505,11.8,5,14,200,0.01,1,4,0.023921717,3.67E+06,0.599714129,0,100,74,13.9361269,1,0,0
3,france,20010126,20020505,11.8,5,14,200,0.01,1,4,0.024133946,3.70E+06,0.596558731,0,100,78,18.0996403,1,0,0
4,france,20010126,20020505,11.8,5,14,200,0.01,1,4,0.024357733,3.74E+06,0.591750991,0,100,73,12.6207133,1,0,0
5,france,20010126,20020505,11.8,5,14,200,0.01,1,4,0.02405647,3.69E+06,0.597380661,0,100,71,11.1403987,1,0,0
1,france,20010126,20020505,11.8,6,14,200,0.01,1,4,0.018491101,2.23E+06,0.494395042,0,100,93,33.3748219,1,0,0
2,france,20010126,20020505,11.8,6,14,200,0.01,1,4,0.018714865,2.25E+06,0.489228608,0,100,94,34.4042334,1,0,0
3,france,20010126,20020505,11.8,6,14,200,0.01,1,4,0.018054415,2.18E+06,0.504376231,0,100,98,37.9390643,1,0,0
4,france,20010126,20020505,11.8,6,14,200,0.01,1,4,0.01858772,2.24E+06,0.492621012,0,100,98,37.5111054,1,0,0
5,france,20010126,20020505,11.8,6,14,200,0.01,1,4,0.018731084,2.26E+06,0.487590212,0,100,96,36.392497,1,0,0
1,france,20010126,20020129,15.94,1,14,200,0.01,1,4,0.000997476,93165.86454,0.588056741,0,100,354,54.092755,5,0,0
2,france,20010126,20020129,15.94,1,14,200,0.01,1,4,0.000991259,92662.29781,0.590283317,0,100,354,54.3164427,5,0,0
3,france,20010126,20020129,15.94,1,14,200,0.01,1,4,0.00099752,93224.05996,0.587799423,0,100,352,51.6487354,5,0,0
4,france,20010126,20020129,15.94,1,14,200,0.01,1,4,0.000994001,92929.3847,0.589102363,0,100,361,1.0339618,6,0,0
5,france,20010126,20020129,15.94,1,14,200,0.01,1,4,0.000990675,92652.46217,0.590326807,0,100,353,52.7230579,5,0,0
1,france,20010126,20020129,15.94,2,14,200,0.01,1,4,0.001233377,131765.3516,0.785318007,0,100,237,56.5879321,3,0,0
2,france,20010126,20020129,15.94,2,14,200,0.01,1,4,0.001235519,131689.7846,0.785441126,0,100,231,50.8459889,3,0,0
3,france,20010126,20020129,15.94,2,14,200,0.01,1,4,0.001233479,131572.2889,0.785632559,0,100,240,0.0344117,4,0,0
4,france,20010126,20020129,15.94,2,14,200,0.01,1,4,0.001248636,133166.3607,0.783035378,0,100,235,54.5496691,3,0,0
5,france,20010126,20020129,15.94,2,14,200,0.01,1,4,0.001244191,132671.8479,0.783841075,0,100,239,58.9701552,3,0,0
1,france,20010126,20020129,15.94,3,14,200,0.01,1,4,0.002023224,219529.7885,0.806284097,0,100,351,51.2724748,5,0,0
2,france,20010126,20020129,15.94,3,14,200,0.01,1,4,0.002036186,221412.6944,0.804622596,0,100,346,46.1115096,5,0,0
3,france,20010126,20020129,15.94,3,14,200,0.01,1,4,0.002039766,221641.6619,0.804420552,0,100,350,49.5998497,5,0,0
4,france,20010126,20020129,15.94,3,14,200,0.01,1,4,0.002035683,221372.4382,0.804658119,0,100,348,48.0407523,5,0,0
5,france,20010126,20020129,15.94,3,14,200,0.01,1,4,0.002034824,221323.5088,0.804701295,0,100,357,57.3582291,5,0,0
1,france,20010126,20020129,15.94,4,14,200,0.01,1,4,0.002107664,351930.1508,0.939420278,0,100,87,27.4849325,1,0,0
2,france,20010126,20020129,15.94,4,14,200,0.01,1,4,0.002111823,353130.1458,0.939213716,0,100,89,28.8438224,1,0,0
3,france,20010126,20020129,15.94,4,14,200,0.01,1,4,0.002129426,354029.9898,0.939058821,0,100,89,28.9529283,1,0,0
4,france,20010126,20020129,15.94,4,14,200,0.01,1,4,0.002127437,353997.5385,0.939064407,0,100,88,28.1572948,1,0,0
5,france,20010126,20020129,15.94,4,14,200,0.01,1,4,0.002095262,351219.9795,0.939542524,0,100,88,27.7617067,1,0,0
1,france,20010126,20020129,15.94,5,14,200,0.01,1,4,0.003323842,515681.3798,0.877968202,0,100,181,1.3368361,3,0,0
2,france,20010126,20020129,15.94,5,14,200,0.01,1,4,0.003315527,516018.2471,0.877888485,0,100,185,5.2556648,3,0,0
3,france,20010126,20020129,15.94,5,14,200,0.01,1,4,0.003293398,511613.7861,0.878930765,0,100,181,1.390185,3,0,0
4,france,20010126,20020129,15.94,5,14,200,0.01,1,4,0.003323154,516711.0035,0.87772455,0,100,186,6.1552603,3,0,0
5,france,20010126,20020129,15.94,5,14,200,0.01,1,4,0.003315337,515754.9529,0.877950791,0,100,184,4.297815,3,0,0
1,france,20010126,20020129,15.94,6,14,200,0.01,1,4,0.003197033,370562.01,0.811108856,0,100,739,18.6483437,12,0,0
2,france,20010126,20020129,15.94,6,14,200,0.01,1,4,0.003188015,369938.9829,0.811426439,0,100,732,12.1393183,12,0,0
3,france,20010126,20020129,15.94,6,14,200,0.01,1,4,0.00319161,370126.8782,0.811330661,0,100,737,16.6367755,12,0,0
4,france,20010126,20020129,15.94,6,14,200,0.01,1,4,0.003199137,370705.4732,0.811035726,0,100,731,11.4835262,12,0,0
5,france,20010126,20020129,15.94,6,14,200,0.01,1,4,0.003193825,370405.2008,0.811188788,0,100,735,15.3178665,12,0,0
1,france,20010126,20030217,27.26,1,14,200,0.01,1,4,0.003424375,359998.5413,0.150667562,0,100,300,59.7445952,4,0,0
2,france,20010126,20030217,27.26,1,14,200,0.01,1,4,0.003353855,351068.1419,0.171736753,0,100,301,0.9982437,5,0,0
3,france,20010126,20030217,27.26,1,14,200,0.01,1,4,0.003302897,346470.4302,0.182583979,0,100,309,9.0719608,5,0,0
4,france,20010126,20030217,27.26,1,14,200,0.01,1,4,0.00335949,353203.4798,0.166698922,0,100,300,59.9893501,4,0,0
5,france,20010126,20030217,27.26,1,14,200,0.01,1,4,0.00343523,360584.2727,0.149285666,0,100,301,1.3705292,5,0,0
1,france,20010126,20030217,27.26,2,14,200,0.01,1,4,0.006007671,698829.9428,0.423029612,0,100,203,23.1564945,3,0,0
2,france,20010126,20030217,27.26,2,14,200,0.01,1,4,0.006046898,705792.54,0.417281129,0,100,202,22.0571087,3,0,0
3,france,20010126,20030217,27.26,2,14,200,0.01,1,4,0.006402054,745917.012,0.384153424,0,100,200,20.4232215,3,0,0
4,france,20010126,20030217,27.26,2,14,200,0.01,1,4,0.006400113,746123.0935,0.383983278,0,100,209,28.77613,3,0,0
5,france,20010126,20030217,27.26,2,14,200,0.01,1,4,0.006448921,751140.057,0.379841155,0,100,201,21.2179186,3,0,0
1,france,20010126,20030217,27.26,3,14,200,0.01,1,4,0.010476491,1.20E+06,0.475206275,0,100,305,5.3419917,5,0,0
2,france,20010126,20030217,27.26,3,14,200,0.01,1,4,0.010529881,1.21E+06,0.472380875,0,100,295,54.5456643,4,0,0
3,france,20010126,20030217,27.26,3,14,200,0.01,1,4,0.010546202,1.21E+06,0.471391454,0,100,294,54.1873246,4,0,0
