Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
france,20010126,20020505,11.8,1,14,200,0.01,1,4,0.004083879,438362.9247,0.10228595,0,100,122.4,26.18542628,1.6,0,0
france,20010126,20020505,11.8,2,14,200,0.01,1,4,0.007862462,923924.1945,0.345872353,0,100,74.8,14.75315798,1,0,0
france,20010126,20020505,11.8,3,14,200,0.01,1,4,0.013693935,1.61E+06,0.410062106,0,100,106.4,46.56007202,1,0,0
france,20010126,20020505,11.8,4,14,200,0.01,1,4,0.024056671,3.50E+06,0.682609914,0,100,65.2,5.06050364,1,0,0
france,20010126,20020505,11.8,5,14,200,0.01,1,4,0.024140832,3.70E+06,0.595906129,0,100,72.8,12.82815638,1,0,0
france,20010126,20020505,11.8,6,14,200,0.01,1,4,0.018515837,2.23E+06,0.493642221,0,100,95.8,35.9243444,1,0,0
france,20010126,20020129,15.94,1,14,200,0.01,1,4,0.000994186,92926.81384,0.58911373,0,100,354.8,42.76299056,5.2,0,0
france,20010126,20020129,15.94,2,14,200,0.01,1,4,0.00123904,132173.1267,0.784653629,0,100,236.4,44.1976314,3.2,0,0
france,20010126,20020129,15.94,3,14,200,0.01,1,4,0.002033937,221056.0184,0.804937332,0,100,350.4,50.4765631,5,0,0
france,20010126,20020129,15.94,4,14,200,0.01,1,4,0.002114322,352861.5609,0.939259949,0,100,88.2,28.24013694,1,0,0
france,20010126,20020129,15.94,5,14,200,0.01,1,4,0.003314252,515155.8739,0.878092558,0,100,183.4,3.68715224,3,0,0
france,20010126,20020129,15.94,6,14,200,0.01,1,4,0.003193924,370347.709,0.811218094,0,100,734.8,14.84516604,12,0,0
france,20010126,20030217,27.26,1,14,200,0.01,1,4,0.003375169,354264.9732,0.164194576,0,100,302.2,26.2349358,4.6,0,0
france,20010126,20030217,27.26,2,14,200,0.01,1,4,0.006261132,729560.5291,0.39765772,0,100,203,23.12617466,3,0,0
france,20010126,20030217,27.26,3,14,200,0.01,1,4,0.010541029,1.21E+06,0.471869651,0,100,300,36.1427614,4.4,0,0
france,20010126,20030217,27.26,4,14,200,0.01,1,4,0.0254916,3.72E+06,0.640485439,0,100,188.6,8.59714408,3,0,0
france,20010126,20030217,27.26,5,14,200,0.01,1,4,0.034061265,4.52E+06,0.437615104,0,100,230.4,50.29054554,3,0,0
france,20010126,20030217,27.26,6,14,200,0.01,1,4,0.021097346,2.29E+06,0.386767612,0,100,677.2,17.03148414,11,0,0
france,20010126,20020419,34.76,1,14,200,0.01,1,4,0.004849599,489521.5739,-0.115983965,0,100,142.2,22.2627728,2,0,0
france,20010126,20020419,34.76,2,14,200,0.01,1,4,0.014036064,1.43E+06,-0.191979267,0,100,126,6.24777138,2,0,0
france,20010126,20020419,34.76,3,14,200,0.01,1,4,0.028699663,2.79E+06,-0.216709909,0,100,225.8,45.73103806,3,0,0
france,20010126,20020419,34.76,4,14,200,0.01,1,4,0.116380387,1.40E+07,-0.316303141,0,100,105.2,45.0206468,1,0,0
france,20010126,20020419,34.76,5,14,200,0.01,1,4,0.090166366,1.03E+07,-0.263450701,0,100,274.6,34.49762982,4,0,0
france,20010126,20020419,34.76,6,14,200,0.01,1,4,0.049237976,4.74E+06,-0.251043522,0,100,594,29.86514872,9.4,0,0
