Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.25,0.75,0.0007383352908139534,67238.9173953693,0.6225546407641616,0.0,100.0,348.0,47.87867110000002,5.0,0.0,0.0
1,france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.5,0.5,0.0007214535630215496,65855.15530990486,0.6303223829836553,0.0,100.0,335.0,34.66293439999998,5.0,0.0,0.0
1,france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.75,0.25,0.0007255451728424127,66477.25875818072,0.6268302080853648,0.0,100.0,336.0,36.2494418,5.0,0.0,0.0
1,france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.25,0.75,0.0008219407716175453,83161.16872903261,0.8309423827942536,0.0,100.0,332.0,32.3967275,5.0,0.0,0.0
1,france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.5,0.5,0.000842343039639859,85513.50145740526,0.8261603460334481,0.0,100.0,335.0,35.398844,5.0,0.0,0.0
1,france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.75,0.25,0.0008786063435299962,90146.7770444921,0.8167414003574598,0.0,100.0,289.0,49.319858099999976,4.0,0.0,0.0
1,france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.25,0.75,0.0011409770577572806,115426.6756860804,0.8770888743580106,0.0,100.0,650.0,50.20425750000004,10.0,0.0,0.0
1,france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.5,0.5,0.0011192978577147916,112982.08683935544,0.8796919742488885,0.0,100.0,652.0,51.6843887,10.0,0.0,0.0
1,france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.75,0.25,0.0011331894497837527,115364.69993950393,0.8771548687109533,0.0,100.0,564.0,23.679766900000004,9.0,0.0,0.0
1,france,20010126,20051223,8.94,4,14,200,0.01,1.0,4,0.25,0.75,0.001175038257702608,183083.06434581752,0.9597685922450876,0.0,100.0,407.0,46.93152070000002,6.0,0.0,0.0
1,france,20010126,20051223,8.94,4,14,200,0.01,1.0,4,0.5,0.5,0.0011638034396216435,181881.47868888522,0.9600326335024766,0.0,100.0,331.0,30.729045600000006,5.0,0.0,0.0
1,france,20010126,20051223,8.94,4,14,200,0.01,1.0,4,0.75,0.25,0.001150477380634598,181249.86393884398,0.9601714270639877,0.0,100.0,81.0,20.654799699999998,1.0,0.0,0.0
1,france,20010126,20051223,8.94,5,14,200,0.01,1.0,4,0.25,0.75,0.0015635962823431174,239600.2955507892,0.9300963095356075,0.0,100.0,707.0,46.61245740000004,11.0,0.0,0.0
1,france,20010126,20051223,8.94,5,14,200,0.01,1.0,4,0.5,0.5,0.0016088694081516763,245857.68118572293,0.9282707093311703,0.0,100.0,459.0,38.85727159999999,7.0,0.0,0.0
1,france,20010126,20051223,8.94,5,14,200,0.01,1.0,4,0.75,0.25,0.0017318556737218565,262751.2626629269,0.9233419854842202,0.0,100.0,145.0,25.14707770000001,2.0,0.0,0.0
1,france,20010126,20051223,8.94,6,14,200,0.01,1.0,4,0.25,0.75,0.0018037992191500313,185182.03563768356,0.8863194212836771,0.0,100.0,1020.0,0.41007490000004054,17.0,0.0,0.0
1,france,20010126,20051223,8.94,6,14,200,0.01,1.0,4,0.5,0.5,0.0017815315646790824,180352.546169499,0.8892841751581934,0.0,100.0,928.0,27.71702389999996,15.0,0.0,0.0
1,france,20010126,20051223,8.94,6,14,200,0.01,1.0,4,0.75,0.25,0.001904274050590237,195683.22680525767,0.8798728916026003,0.0,100.0,399.0,38.7256246,6.0,0.0,0.0
1,france,20010126,20050716,14.23,1,14,200,0.01,1.0,4,0.25,0.75,0.0008250640096745402,76619.34952821629,0.5557405803388513,0.0,100.0,289.0,48.91480869999998,4.0,0.0,0.0
1,france,20010126,20050716,14.23,1,14,200,0.01,1.0,4,0.5,0.5,0.0008019947165566896,74487.24927417892,0.5681030661515142,0.0,100.0,303.0,2.882083000000023,5.0,0.0,0.0
1,france,20010126,20050716,14.23,1,14,200,0.01,1.0,4,0.75,0.25,0.0008145285287139912,76126.04790419161,0.5586008746973462,0.0,100.0,217.0,37.14756310000001,3.0,0.0,0.0
1,france,20010126,20050716,14.23,2,14,200,0.01,1.0,4,0.25,0.75,0.0009440658274670405,98347.5478588278,0.7912138990071537,0.0,100.0,175.0,54.96708760000001,2.0,0.0,0.0
1,france,20010126,20050716,14.23,2,14,200,0.01,1.0,4,0.5,0.5,0.0009238092073833267,95382.2299038287,0.7975090958626669,0.0,100.0,163.0,43.16244800000001,2.0,0.0,0.0
1,france,20010126,20050716,14.23,2,14,200,0.01,1.0,4,0.75,0.25,0.0009475872120328156,98291.59059154418,0.7913326930179116,0.0,100.0,113.0,52.87754219999999,1.0,0.0,0.0
1,france,20010126,20050716,14.23,3,14,200,0.01,1.0,4,0.25,0.75,0.001344652042188719,139434.988296135,0.8448441326358584,0.0,100.0,38.0,37.799982,0.0,0.0,0.0
1,france,20010126,20050716,14.23,3,14,200,0.01,1.0,4,0.5,0.5,0.0013772632604953147,144276.53756124116,0.8394567131309465,0.0,100.0,64.0,4.2730398000000065,1.0,0.0,0.0
1,france,20010126,20050716,14.23,3,14,200,0.01,1.0,4,0.75,0.25,0.001409648731098117,147448.19411177645,0.8359274617637479,0.0,100.0,122.0,1.7951326000000023,2.0,0.0,0.0
1,france,20010126,20050716,14.23,4,14,200,0.01,1.0,4,0.25,0.75,0.0014844985542808217,244887.42555797496,0.9445861271710594,0.0,100.0,40.0,40.495538,0.0,0.0,0.0
1,france,20010126,20050716,14.23,4,14,200,0.01,1.0,4,0.5,0.5,0.0015371900302532172,247524.45037198332,0.9439894131611126,0.0,100.0,42.0,42.3448729,0.0,0.0,0.0
1,france,20010126,20050716,14.23,4,14,200,0.01,1.0,4,0.75,0.25,0.001539015804462249,245368.53338776992,0.9444772606253945,0.0,100.0,42.0,42.3927164,0.0,0.0,0.0
1,france,20010126,20050716,14.23,5,14,200,0.01,1.0,4,0.25,0.75,0.0019741971122601955,305566.68032117584,0.9078108643182634,0.0,100.0,50.0,49.6458958,0.0,0.0,0.0
1,france,20010126,20050716,14.23,5,14,200,0.01,1.0,4,0.5,0.5,0.002017232960808604,308254.8130557068,0.9069998575909143,0.0,100.0,51.0,50.8247918,0.0,0.0,0.0
1,france,20010126,20050716,14.23,5,14,200,0.01,1.0,4,0.75,0.25,0.00210539299166849,322886.55738522956,0.9025854762132162,0.0,100.0,53.0,52.6479058,0.0,0.0,0.0
1,france,20010126,20050716,14.23,6,14,200,0.01,1.0,4,0.25,0.75,0.0020767387548643003,218061.28515695882,0.8612528561493695,0.0,100.0,191.0,10.624748299999993,3.0,0.0,0.0
1,france,20010126,20050716,14.23,6,14,200,0.01,1.0,4,0.5,0.5,0.002054850140030416,216686.66262928688,0.8621274953566453,0.0,100.0,230.0,49.691263099999986,3.0,0.0,0.0
1,france,20010126,20050716,14.23,6,14,200,0.01,1.0,4,0.75,0.25,0.002080097266307299,217412.74178914897,0.861665508674471,0.0,100.0,159.0,38.8265188,2.0,0.0,0.0
