Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.5,0.5,0.0007214535630215496,65855.15530990486,0.6303223829836553,0.0,100.0,341.4,41.33711992,5.0,0.0,0.0
france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.5,0.5,0.0008423660205474272,85515.09183303085,0.8261571129726599,0.0,100.0,338.2,38.274540820000006,5.0,0.0,0.0
france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.5,0.5,0.0011192241776212608,112977.85594236376,0.8796964794839965,0.0,100.0,657.8,45.67154600000001,10.2,0.0,0.0
france,20010126,20051223,8.94,4,14,200,0.01,1.0,4,0.5,0.5,0.0011652633278043246,181961.84694494857,0.9600149730591593,0.0,100.0,332.2,32.18689936,5.0,0.0,0.0
france,20010126,20051223,8.94,5,14,200,0.01,1.0,4,0.5,0.5,0.001608060186774567,245814.6752351097,0.9282832563718694,0.0,100.0,456.2,35.973005519999994,7.0,0.0,0.0
france,20010126,20051223,8.94,6,14,200,0.01,1.0,4,0.5,0.5,0.0017818243935808398,180367.08994115383,0.8892752469467027,0.0,100.0,936.0,35.98356274,15.0,0.0,0.0
france,20010126,20050716,14.23,1,14,200,0.01,1.0,4,0.5,0.5,0.0008047813001163283,74704.26543277082,0.5668447485950903,0.0,100.0,297.8,33.797708439999994,4.4,0.0,0.0
france,20010126,20050716,14.23,2,14,200,0.01,1.0,4,0.5,0.5,0.0009248786938782092,95455.54805842861,0.7973534457019443,0.0,100.0,163.0,43.155923900000005,2.0,0.0,0.0
france,20010126,20050716,14.23,3,14,200,0.01,1.0,4,0.5,0.5,0.0013846243402937572,144698.98750680458,0.8389866332139704,0.0,100.0,66.4,6.38283758,1.0,0.0,0.0
france,20010126,20050716,14.23,4,14,200,0.01,1.0,4,0.5,0.5,0.0015406941878947696,247710.38574668844,0.943947339137978,0.0,100.0,42.6,42.362747139999996,0.0,0.0,0.0
france,20010126,20050716,14.23,5,14,200,0.01,1.0,4,0.5,0.5,0.002015171592953128,308092.6435855562,0.907048783943982,0.0,100.0,50.0,50.06454632,0.0,0.0,0.0
france,20010126,20050716,14.23,6,14,200,0.01,1.0,4,0.5,0.5,0.0020655936525246126,217271.4060061695,0.8617554372291807,0.0,100.0,237.4,45.3096522,3.2,0.0,0.0
