MaskedP,Band,R2_UV,R2_BV,Time_UV,Time_BV,Diff_Time
8.94,1,0.5722280104101947,0.6303223829836553,177.6,341.4,92.22972972972973
8.94,2,0.7857549534237761,0.8261571129726599,99.8,338.2,238.87775551102203
8.94,3,0.8492880339194784,0.8796964794839965,156.8,657.8,319.5153061224489
8.94,4,0.9441627758519754,0.9600149730591593,33.8,332.2,882.8402366863905
8.94,5,0.904438578065966,0.9282832563718694,52.6,456.2,767.3003802281368
8.94,6,0.8568631432101679,0.8892752469467027,120.6,936.0,676.1194029850747
14.23,1,0.5188135825920197,0.5668447485950903,200.6,297.8,48.454636091724836
14.23,2,0.7787986105159078,0.7973534457019443,113.2,163.0,43.992932862190806
14.23,3,0.828549874652557,0.8389866332139704,184.8,66.4,-64.06926406926407
14.23,4,0.9385523437127447,0.943947339137978,39.2,42.6,8.673469387755098
14.23,5,0.8907079336723249,0.907048783943982,60.2,50.0,-16.943521594684388
14.23,6,0.8394688299910456,0.8617554372291807,130.0,237.4,82.61538461538463
