Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20010126,20051223,8.94,1,14,200,0.005,1.0,0,0.0008324423428068018,77276.74058186218,0.5662073656244735,0.0,100.0,160.0,39.828959499999996,2.0,0.0,0.0
1,france,20010126,20051223,8.94,1,14,200,0.005,1.0,2,0.000822269177359212,76421.12918660288,0.5710103363289389,0.0,100.0,133.0,13.227556899999996,2.0,0.0,0.0
1,france,20010126,20051223,8.94,1,14,200,0.005,1.0,4,0.0008130702576560616,75695.03272287302,0.5750862755499839,0.0,100.0,180.0,59.75805439999999,2.0,0.0,0.0
1,france,20010126,20051223,8.94,1,14,200,0.005,1.0,6,0.0008335243072463868,77749.13771104878,0.5635555664725125,0.0,100.0,236.0,56.23417810000001,3.0,0.0,0.0
1,france,20010126,20051223,8.94,2,14,200,0.005,1.0,0,0.0010439348205922478,109321.14513556618,0.7777619940979708,0.0,100.0,70.0,10.086475800000002,1.0,0.0,0.0
1,france,20010126,20051223,8.94,2,14,200,0.005,1.0,2,0.001017311553376059,106954.50508716934,0.7825731160853171,0.0,100.0,71.0,11.129547299999999,1.0,0.0,0.0
1,france,20010126,20051223,8.94,2,14,200,0.005,1.0,4,0.0010031235894174388,105044.56552824067,0.7864558156165317,0.0,100.0,109.0,48.9295192,1.0,0.0,0.0
1,france,20010126,20051223,8.94,2,14,200,0.005,1.0,6,0.0009808483972033133,102345.47401418908,0.7919427752992726,0.0,100.0,134.0,13.751232700000003,2.0,0.0,0.0
1,france,20010126,20051223,8.94,3,14,200,0.005,1.0,0,0.0014016769631862826,145558.5460045097,0.8450032054558851,0.0,100.0,175.0,55.2240348,2.0,0.0,0.0
1,france,20010126,20051223,8.94,3,14,200,0.005,1.0,2,0.0013658429642064184,142669.9498982566,0.8480791027459554,0.0,100.0,177.0,56.71001860000001,2.0,0.0,0.0
1,france,20010126,20051223,8.94,3,14,200,0.005,1.0,4,0.001357084184283315,141849.23686960348,0.8489530321178378,0.0,100.0,260.0,19.666759899999988,4.0,0.0,0.0
1,france,20010126,20051223,8.94,3,14,200,0.005,1.0,6,0.0013514937136972407,140935.38739481935,0.8499261370517314,0.0,100.0,334.0,33.738717399999985,5.0,0.0,0.0
1,france,20010126,20051223,8.94,4,14,200,0.005,1.0,0,0.0017661595641167704,281042.5878017929,0.9382425731907519,0.0,100.0,40.0,40.101102,0.0,0.0,0.0
1,france,20010126,20051223,8.94,4,14,200,0.005,1.0,2,0.0016064284309268448,263666.23049001815,0.9420609237236259,0.0,100.0,40.0,40.2742139,0.0,0.0,0.0
1,france,20010126,20051223,8.94,4,14,200,0.005,1.0,4,0.0015408848209439016,252889.73849199802,0.9444289933497765,0.0,100.0,53.0,52.9728777,0.0,0.0,0.0
1,france,20010126,20051223,8.94,4,14,200,0.005,1.0,6,0.0014786986464773895,241119.6702414343,0.9470153954115048,0.0,100.0,55.0,54.6466278,0.0,0.0,0.0
1,france,20010126,20051223,8.94,5,14,200,0.005,1.0,0,0.0023680182894193144,360562.9215750976,0.8948053097982098,0.0,100.0,75.0,14.907737800000007,1.0,0.0,0.0
1,france,20010126,20051223,8.94,5,14,200,0.005,1.0,2,0.0021879304943134,336023.9358741682,0.9019645900353426,0.0,100.0,76.0,16.075158000000002,1.0,0.0,0.0
1,france,20010126,20051223,8.94,5,14,200,0.005,1.0,4,0.002132336108459623,328007.5065170764,0.9043033934793017,0.0,100.0,117.0,56.5274259,1.0,0.0,0.0
1,france,20010126,20051223,8.94,5,14,200,0.005,1.0,6,0.002176292125513791,330175.41907276027,0.9036709022384289,0.0,100.0,127.0,7.468796100000006,2.0,0.0,0.0
1,france,20010126,20051223,8.94,6,14,200,0.005,1.0,0,0.0023491878150265944,246279.31237969533,0.8488126849844146,0.0,100.0,180.0,0.3919238000000007,3.0,0.0,0.0
1,france,20010126,20051223,8.94,6,14,200,0.005,1.0,2,0.0022766056338450863,240109.9701369411,0.8525999551374848,0.0,100.0,185.0,5.4868497999999875,3.0,0.0,0.0
1,france,20010126,20051223,8.94,6,14,200,0.005,1.0,4,0.0022186588809634945,233691.25518341307,0.8565403115981938,0.0,100.0,315.0,14.994466799999998,5.0,0.0,0.0
1,france,20010126,20051223,8.94,6,14,200,0.005,1.0,6,0.0021661701882813773,224715.35483693558,0.8620504872606107,0.0,100.0,357.0,56.852971500000024,5.0,0.0,0.0
1,france,20010126,20050716,14.23,1,14,200,0.005,1.0,0,0.0009419200048435534,88326.43571947014,0.4878597728238496,0.0,100.0,108.0,47.8755139,1.0,0.0,0.0
1,france,20010126,20050716,14.23,1,14,200,0.005,1.0,2,0.0008956206907143146,84343.35256759208,0.510954751055997,0.0,100.0,119.0,58.896534,1.0,0.0,0.0
1,france,20010126,20050716,14.23,1,14,200,0.005,1.0,4,0.0008756797259679742,82525.90655053529,0.5214927876978478,0.0,100.0,206.0,25.999820199999988,3.0,0.0,0.0
1,france,20010126,20050716,14.23,1,14,200,0.005,1.0,6,0.0008679265237259779,81508.7385229541,0.5273905991568799,0.0,100.0,251.0,10.639810100000005,4.0,0.0,0.0
1,france,20010126,20050716,14.23,2,14,200,0.005,1.0,0,0.0011977871555799802,123815.85891852659,0.7371461618769879,0.0,100.0,54.0,54.4176183,0.0,0.0,0.0
1,france,20010126,20050716,14.23,2,14,200,0.005,1.0,2,0.0010313990635366004,108227.6288332426,0.7702390640564873,0.0,100.0,65.0,5.262589800000001,1.0,0.0,0.0
1,france,20010126,20050716,14.23,2,14,200,0.005,1.0,4,0.0009992697142438948,104204.9129468336,0.7787790549724879,0.0,100.0,128.0,7.960864799999996,2.0,0.0,0.0
1,france,20010126,20050716,14.23,2,14,200,0.005,1.0,6,0.0009782314571819717,101297.95259481038,0.7849503620447388,0.0,100.0,135.0,14.811379899999991,2.0,0.0,0.0
1,france,20010126,20050716,14.23,3,14,200,0.005,1.0,0,0.0017540734382319606,186304.6972872437,0.7926900037440792,0.0,100.0,131.0,11.12404570000001,2.0,0.0,0.0
1,france,20010126,20050716,14.23,3,14,200,0.005,1.0,2,0.001557798328362069,167748.4574487389,0.8133384042807188,0.0,100.0,156.0,35.807595899999995,2.0,0.0,0.0
1,france,20010126,20050716,14.23,3,14,200,0.005,1.0,4,0.001463511757316178,154120.06373616404,0.8285033587379436,0.0,100.0,302.0,2.4932539000000133,5.0,0.0,0.0
1,france,20010126,20050716,14.23,3,14,200,0.005,1.0,6,0.001492760525925567,159124.7530847396,0.8229344055917134,0.0,100.0,339.0,39.30653910000001,5.0,0.0,0.0
1,france,20010126,20050716,14.23,4,14,200,0.005,1.0,0,0.0023877261678892482,354182.541326438,0.9198544953519967,0.0,100.0,39.0,39.2353598,0.0,0.0,0.0
