Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.0008178895961045375,76051.05516141451,0.5730877451985632,0.0,100.0,192.0,11.754673800000006,3.0,0.0,0.0
2,france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.0008204578725258704,76468.95215311005,0.5707418823223569,0.0,100.0,178.0,57.84025500000001,2.0,0.0,0.0
3,france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.0008196481761904731,76184.42259253148,0.5723390877261011,0.0,100.0,178.0,58.0866087,2.0,0.0,0.0
4,france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.000816826680556391,75961.65808722434,0.5735895752709295,0.0,100.0,167.0,47.36880679999999,2.0,0.0,0.0
5,france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.0008192049826857039,76354.96271242369,0.5713817615330224,0.0,100.0,173.0,52.9764242,2.0,0.0,0.0
1,france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.0010057491110835324,105227.06693064951,0.7860848101015843,0.0,100.0,100.0,39.5029722,1.0,0.0,0.0
2,france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.001007227624995939,105333.55007424517,0.7858683414443494,0.0,100.0,100.0,40.2252304,1.0,0.0,0.0
3,france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.0010086563736315761,105436.55848869824,0.7856589365337916,0.0,100.0,101.0,40.61104,1.0,0.0,0.0
4,france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.001008511853533067,105418.46092503988,0.7856957269136777,0.0,100.0,98.0,38.132095199999995,1.0,0.0,0.0
5,france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.0010102151837820812,105530.99758015729,0.7854669521254777,0.0,100.0,100.0,40.08548570000001,1.0,0.0,0.0
1,france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.001351851909204418,141536.59693119948,0.8492859441290472,0.0,100.0,158.0,38.19579469999999,2.0,0.0,0.0
2,france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.0013558622432492864,141769.61931474454,0.849037812202081,0.0,100.0,157.0,37.12810279999999,2.0,0.0,0.0
3,france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.00135056342959615,141467.19177253477,0.8493598496290207,0.0,100.0,156.0,35.973391099999986,2.0,0.0,0.0
4,france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.001349569278598422,141411.85607435516,0.849418773382226,0.0,100.0,156.0,36.329982599999994,2.0,0.0,0.0
5,france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.0013509057616102088,141487.90788098774,0.8493377902550177,0.0,100.0,157.0,36.887458699999996,2.0,0.0,0.0
