Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
france,20010126,20051223,8.94,1,14,200,0.01,1.0,4,0.0008188054616125951,76204.21014134082,0.5722280104101947,0.0,100.0,177.6,45.6053537,2.2,0.0,0.0
france,20010126,20051223,8.94,2,14,200,0.01,1.0,4,0.0010080720294052391,105389.32679975801,0.7857549534237761,0.0,100.0,99.8,39.711364700000004,1.0,0.0,0.0
france,20010126,20051223,8.94,3,14,200,0.01,1.0,4,0.0013517505244516972,141534.63439476435,0.8492880339194784,0.0,100.0,156.8,36.90294597999999,2.0,0.0,0.0
france,20010126,20051223,8.94,4,14,200,0.01,1.0,4,0.0015554312671126266,254101.2276742012,0.9441627758519754,0.0,100.0,33.8,33.90560218,0.0,0.0,0.0
france,20010126,20051223,8.94,5,14,200,0.01,1.0,4,0.002123614122993538,327544.1509101909,0.904438578065966,0.0,100.0,52.6,52.46366336000001,0.0,0.0,0.0
france,20010126,20051223,8.94,6,14,200,0.01,1.0,4,0.002211062073412237,233165.37278776878,0.8568631432101679,0.0,100.0,120.6,36.6169961,1.4,0.0,0.0
france,20010126,20050716,14.23,1,14,200,0.01,1.0,4,0.0008815123803842864,82987.97655597897,0.5188135825920197,0.0,100.0,200.6,20.468088559999995,3.0,0.0,0.0
france,20010126,20050716,14.23,2,14,200,0.01,1.0,4,0.0009997221763188271,104195.70141535111,0.7787986105159078,0.0,100.0,113.2,53.29752286,1.0,0.0,0.0
france,20010126,20050716,14.23,3,14,200,0.01,1.0,4,0.0014640053697902175,154078.26095989838,0.828549874652557,0.0,100.0,184.8,4.928759979999995,3.0,0.0,0.0
france,20010126,20050716,14.23,4,14,200,0.01,1.0,4,0.0017046565212360527,271552.18696243875,0.9385523437127447,0.0,100.0,39.2,39.23147682,0.0,0.0,0.0
france,20010126,20050716,14.23,5,14,200,0.01,1.0,4,0.002375387892409464,362255.4181273816,0.8907079336723249,0.0,100.0,60.2,24.230483099999997,0.6,0.0,0.0
france,20010126,20050716,14.23,6,14,200,0.01,1.0,4,0.0023713052347446974,252298.04569951008,0.8394688299910456,0.0,100.0,130.0,9.90395704,2.0,0.0,0.0
