Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.25,0.75,0.11859977,86093.94484,0.580295487,0,100,293,53.0343019,4,0,0
1,france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.5,0.5,0.120674776,83766.05921,0.591643836,0,100,300,59.5863718,4,0,0
1,france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.75,0.25,0.119951613,78973.57798,0.615006988,0,100,261,20.852913,4,0,0
1,france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.25,0.75,0.116113602,88301.92397,0.660162058,0,100,195,14.7172838,3,0,0
1,france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.5,0.5,0.119215837,92757.48175,0.643014441,0,100,183,2.6223927,3,0,0
1,france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.75,0.25,0.115046829,94503.58202,0.636294416,0,100,127,6.828589,2,0,0
1,france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.25,0.75,0.328990683,119072.8899,0.722639158,0,100,234,54.4502268,3,0,0
1,france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.5,0.5,0.336499065,130755.3764,0.695426714,0,100,188,7.7850666,3,0,0
1,france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.75,0.25,0.377281849,145840.3045,0.660288839,0,100,106,45.9497128,1,0,0
1,france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.25,0.75,0.348580636,132033.4254,0.726101389,0,100,111,51.0995385,1,0,0
1,france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.5,0.5,0.333127594,133501.6648,0.723055579,0,100,88,28.0173804,1,0,0
1,france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.75,0.25,0.350255688,137920.1358,0.713889619,0,100,58,58.1947329,0,0,0
1,france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.25,0.75,0.562907315,155097.7453,0.729001124,0,100,111,50.5754318,1,0,0
1,france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.5,0.5,0.636292815,222895.7408,0.610539179,0,100,92,31.9537125,1,0,0
1,france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.75,0.25,0.712285648,213297.2206,0.627310462,0,100,77,17.1209327,1,0,0
1,france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.25,0.75,0.60442246,167048.7634,0.723571694,0,100,111,51.0146503,1,0,0
1,france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.5,0.5,0.619841266,202086.5408,0.665592017,0,100,99,39.3895386,1,0,0
1,france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.75,0.25,0.592835807,225930.6864,0.626135294,0,100,83,22.9614497,1,0,0
1,france,20210328,20210728,12.48,7,14,200,0.01,1,4,0.25,0.75,0.675218124,330258.74,0.535076043,0,100,212,32.1367354,3,0,0
1,france,20210328,20210728,12.48,7,14,200,0.01,1,4,0.5,0.5,0.800621844,351851.0252,0.504679358,0,100,136,15.7515125,2,0,0
1,france,20210328,20210728,12.48,7,14,200,0.01,1,4,0.75,0.25,0.605494747,310290.3601,0.563186664,0,100,80,20.1029358,1,0,0
1,france,20210328,20210728,12.48,8,14,200,0.01,1,4,0.25,0.75,0.915289964,188462.0871,0.714020181,0,100,176,56.0124735,2,0,0
1,france,20210328,20210728,12.48,8,14,200,0.01,1,4,0.5,0.5,0.864054091,187070.2475,0.716132213,0,100,135,14.5615404,2,0,0
1,france,20210328,20210728,12.48,8,14,200,0.01,1,4,0.75,0.25,0.808853785,198287.2313,0.699111118,0,100,99,39.2311237,1,0,0
1,france,20210328,20210728,12.48,9,14,200,0.01,1,4,0.25,0.75,0.950452705,321901.8165,0.545062601,0,100,184,3.6605679,3,0,0
1,france,20210328,20210728,12.48,9,14,200,0.01,1,4,0.5,0.5,0.895267745,286737.4948,0.594759634,0,100,147,26.6662447,2,0,0
1,france,20210328,20210728,12.48,9,14,200,0.01,1,4,0.75,0.25,1.320505343,322242.2175,0.544581519,0,100,105,44.6832454,1,0,0
1,france,20210328,20210728,12.48,10,14,200,0.01,1,4,0.25,0.75,0.802191398,141704.7077,0.745172025,0,100,174,53.8478774,2,0,0
1,france,20210328,20210728,12.48,10,14,200,0.01,1,4,0.5,0.5,0.924711977,153485.9573,0.72398577,0,100,139,18.6703981,2,0,0
1,france,20210328,20210728,12.48,10,14,200,0.01,1,4,0.75,0.25,1.002219399,168299.3066,0.697346883,0,100,100,39.8005754,1,0,0
1,france,20210328,20211024,18.57,1,14,200,0.01,1,4,0.25,0.75,0.023190133,17441.37292,0.776739407,0,100,843,3.4692872,14,0,0
