Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.5,0.5,0.120674776,83766.05921,0.591643836,0,100,278,37.8605736,4,0,0
2,france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.5,0.5,0.121091333,83932.56254,0.590832138,0,100,268,28.2024165,4,0,0
3,france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.5,0.5,0.119958827,83177.8998,0.594511089,0,100,276,35.7822271,4,0,0
4,france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.5,0.5,0.120417148,83495.49083,0.592962845,0,100,306,6.0576666,5,0,0
5,france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.5,0.5,0.120162818,83265.91833,0.594082002,0,100,288,47.9326821,4,0,0
1,france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.5,0.5,0.119215837,92757.48175,0.643014441,0,100,171,51.4132759,2,0,0
2,france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.5,0.5,0.119184271,92790.70294,0.642886586,0,100,164,44.3980244,2,0,0
3,france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.5,0.5,0.119281827,92813.45282,0.642799031,0,100,181,0.5665249,3,0,0
4,france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.5,0.5,0.119347942,92886.99234,0.642516008,0,100,177,57.0221124,2,0,0
5,france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.5,0.5,0.119208132,92808.74143,0.642817163,0,100,163,43.1590132,2,0,0
1,france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.5,0.5,0.336499065,130755.3764,0.695426714,0,100,201,21.0106172,3,0,0
2,france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.5,0.5,0.335926128,130735.1607,0.695473804,0,100,187,7.2942254,3,0,0
3,france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.5,0.5,0.336769675,130546.7675,0.695912635,0,100,189,9.2374957,3,0,0
4,france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.5,0.5,0.342478344,131677.7273,0.693278249,0,100,194,13.9198054,3,0,0
5,france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.5,0.5,0.335578314,130437.9589,0.696166087,0,100,203,23.3006091,3,0,0
1,france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.5,0.5,0.332922326,133478.3143,0.723104018,0,100,95,35.3717734,1,0,0
2,france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.5,0.5,0.331229555,128899.0401,0.732603559,0,100,92,32.0652927,1,0,0
3,france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.5,0.5,0.331889734,133623.9308,0.722801942,0,100,86,26.198331,1,0,0
4,france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.5,0.5,0.332637698,129271.1394,0.731831652,0,100,82,22.0032909,1,0,0
5,france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.5,0.5,0.331252165,133525.415,0.72300631,0,100,83,22.5839379,1,0,0
1,france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.5,0.5,0.636292815,222895.7408,0.610539179,0,100,99,38.667983,1,0,0
2,france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.5,0.5,0.65040818,223896.6414,0.608790328,0,100,94,34.0816692,1,0,0
3,france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.5,0.5,0.648848427,218941.1843,0.617448889,0,100,92,32.455299,1,0,0
4,france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.5,0.5,0.632232839,220613.9121,0.614526169,0,100,94,33.6609592,1,0,0
5,france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.5,0.5,0.641939391,220654.7071,0.614454888,0,100,89,29.098137,1,0,0
1,france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.5,0.5,0.619841266,202086.5408,0.665592017,0,100,94,34.3955093,1,0,0
2,france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.5,0.5,0.62666448,202907.5288,0.664233465,0,100,98,38.0571416,1,0,0
3,france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.5,0.5,0.618060872,201515.5158,0.666536935,0,100,99,39.347059,1,0,0
4,france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.5,0.5,0.619294977,202195.8881,0.665411072,0,100,104,43.7945961,1,0,0
5,france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.5,0.5,0.629551929,202115.1405,0.665544691,0,100,99,38.6184522,1,0,0
1,france,20210328,20210728,12.48,7,14,200,0.01,1,4,0.5,0.5,0.800621844,351851.0252,0.504679358,0,100,133,13.3281103,2,0,0
2,france,20210328,20210728,12.48,7,14,200,0.01,1,4,0.5,0.5,0.800145892,352546.0583,0.503700921,0,100,139,19.0393219,2,0,0
3,france,20210328,20210728,12.48,7,14,200,0.01,1,4,0.5,0.5,0.799292485,351853.4598,0.504675931,0,100,134,14.0700203,2,0,0
4,france,20210328,20210728,12.48,7,14,200,0.01,1,4,0.5,0.5,0.80365722,352148.1256,0.504261113,0,100,146,25.9113817,2,0,0
