MaskedP,Band,R2_UV,R2_BV,Time_UV,Time_BV,Diff_Time
12.48,1,0.587327119,0.592806382,54.2,283.2,422.5092251
12.48,2,0.607445362,0.642806646,40.8,171.2,319.6078431
12.48,3,0.661212931,0.695251498,42.2,194.8,361.6113744
12.48,4,0.674308224,0.726669496,36,87.6,143.3333333
12.48,5,0.589337007,0.613151891,39,93.6,140
12.48,6,0.454524576,0.665463636,41,98.8,140.9756098
12.48,7,0.510851613,0.504096415,61,138.4,126.8852459
12.48,8,0.303354476,0.71537921,50.6,134.8,166.4031621
12.48,9,0.557253594,0.596896428,61.8,150.2,143.0420712
12.48,10,0.73091485,0.722713702,57.4,137,138.6759582
18.57,1,0.735977536,0.776929683,48.8,479.8,883.1967213
18.57,2,0.761343768,0.802782344,42.8,243.2,468.2242991
18.57,3,0.828980818,0.866004446,47.2,137.2,190.6779661
18.57,4,0.849972808,0.895374489,40,88,120
18.57,5,0.794394726,0.858189602,47.8,100.8,110.8786611
18.57,6,0.789345451,0.853149942,52.2,95.8,83.52490421
18.57,7,0.7869512,0.848547878,62.2,137.6,121.221865
18.57,8,0.764453647,0.823309375,64.4,116.8,81.36645963
18.57,9,0.799892699,0.843944104,70.8,98.6,39.26553672
18.57,10,0.823509104,0.870986272,60.8,89,46.38157895
26.63,1,0.58251938,0.668765119,72.6,200.2,175.7575758
26.63,2,0.630535918,0.733933853,61.6,151.2,145.4545455
26.63,3,0.690178286,0.769446994,64.4,137,112.7329193
26.63,4,0.767521522,0.812105169,46.6,97.2,108.583691
26.63,5,0.747355123,0.799128535,54.2,119,119.5571956
26.63,6,0.759999468,0.811793825,56,127.2,127.1428571
26.63,7,0.741005774,0.821641006,83.2,168.2,102.1634615
26.63,8,0.769669036,0.816176794,62.8,128.6,104.7770701
26.63,9,0.744169107,0.823505517,72.2,113,56.50969529
26.63,10,0.744991781,0.817303697,69,115.4,67.24637681
31.07,1,0.610261878,0.709552954,94,275,192.5531915
31.07,2,0.634297443,0.710228789,82,212.2,158.7804878
31.07,3,0.670450595,0.746651967,68.4,121,76.9005848
31.07,4,0.689902084,0.761449606,48.6,76.6,57.61316872
31.07,5,0.631378835,0.723178741,53.2,93.2,75.18796992
31.07,6,0.634752167,0.72171119,51.8,96.2,85.71428571
31.07,7,0.659700203,0.767863934,79.2,139,75.50505051
31.07,8,0.635199749,0.740368147,62.6,118.2,88.81789137
31.07,9,0.620254741,0.716671482,83.6,145.2,73.68421053
31.07,10,0.594915442,0.702624386,80.8,156.8,94.05940594
