Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20210328,20210728,12.48,1,14,1,0.005,1,4,0.237089647,160408.0931,0.218017007,0,100,1449,8.6864264,24,0,0
1,france,20210328,20210728,12.48,1,14,50,0.005,1,4,0.110306804,81077.80238,0.604748979,0,100,254,13.7837603,4,0,0
1,france,20210328,20210728,12.48,1,14,100,0.005,1,4,0.122594886,84627.93405,0.58744223,0,100,159,39.4535562,2,0,0
1,france,20210328,20210728,12.48,1,14,150,0.005,1,4,0.118321151,87364.74925,0.574100367,0,100,120,0.4159114,2,0,0
1,france,20210328,20210728,12.48,1,14,200,0.005,1,4,0.115343152,83427.5919,0.59329385,0,100,97,37.0448053,1,0,0
1,france,20210328,20210728,12.48,2,14,1,0.005,1,4,0.261296011,192187.2518,0.260349977,0,100,1518,17.6796199,25,0,0
1,france,20210328,20210728,12.48,2,14,50,0.005,1,4,0.127992441,95022.50016,0.634297313,0,100,177,57.1023787,2,0,0
1,france,20210328,20210728,12.48,2,14,100,0.005,1,4,0.138787828,102455.5122,0.605690693,0,100,106,45.618455,1,0,0
1,france,20210328,20210728,12.48,2,14,150,0.005,1,4,0.129028956,98537.54837,0.620769332,0,100,80,19.6397765,1,0,0
1,france,20210328,20210728,12.48,2,14,200,0.005,1,4,0.130570628,102353.369,0.606083801,0,100,64,4.1544661,1,0,0
1,france,20210328,20210728,12.48,3,14,1,0.005,1,4,0.494570984,251875.3893,0.413297434,0,100,1140,59.6607699,18,0,0
1,france,20210328,20210728,12.48,3,14,50,0.005,1,4,0.356107839,158632.2525,0.630492086,0,100,127,6.8522417,2,0,0
1,france,20210328,20210728,12.48,3,14,100,0.005,1,4,0.387281287,148737.9652,0.653539212,0,100,81,21.0715934,1,0,0
1,france,20210328,20210728,12.48,3,14,150,0.005,1,4,0.40016174,154934.9958,0.639104242,0,100,66,6.3209678,1,0,0
1,france,20210328,20210728,12.48,3,14,200,0.005,1,4,0.379579754,146550.1137,0.658635455,0,100,58,58.4720656,0,0,0
1,france,20210328,20210728,12.48,4,14,1,0.005,1,4,0.594266251,244228.6476,0.493356419,0,100,1017,56.9971808,16,0,0
1,france,20210328,20210728,12.48,4,14,50,0.005,1,4,0.359682145,144594.7733,0.700043322,0,100,108,48.4609802,1,0,0
1,france,20210328,20210728,12.48,4,14,100,0.005,1,4,0.548740227,168563.8273,0.650320378,0,100,60,0.4817803,1,0,0
1,france,20210328,20210728,12.48,4,14,150,0.005,1,4,0.383585529,147297.0919,0.694437459,0,100,49,48.9928969,0,0,0
1,france,20210328,20210728,12.48,4,14,200,0.005,1,4,0.452458158,153128.261,0.682340908,0,100,39,39.3013978,0,0,0
1,france,20210328,20210728,12.48,5,14,1,0.005,1,4,1.363178914,385304.8412,0.326765334,0,100,1074,53.6312888,17,0,0
1,france,20210328,20210728,12.48,5,14,50,0.005,1,4,0.99020194,256581.8195,0.551680236,0,100,115,55.0291751,1,0,0
1,france,20210328,20210728,12.48,5,14,100,0.005,1,4,0.949397529,259196.0243,0.547112493,0,100,71,11.4017869,1,0,0
1,france,20210328,20210728,12.48,5,14,150,0.005,1,4,0.894179663,276643.5477,0.51662682,0,100,59,58.9981661,0,0,0
1,france,20210328,20210728,12.48,5,14,200,0.005,1,4,0.758133439,236400.3419,0.586942887,0,100,43,42.9013832,0,0,0
1,france,20210328,20210728,12.48,6,14,1,0.005,1,4,0.707159596,235859.6026,0.60970516,0,100,943,42.6488813,15,0,0
1,france,20210328,20210728,12.48,6,14,50,0.005,1,4,1.023135977,371847.4718,0.384675681,0,100,104,44.3024571,1,0,0
1,france,20210328,20210728,12.48,6,14,100,0.005,1,4,0.695987525,316824.6253,0.475726174,0,100,80,19.8896575,1,0,0
1,france,20210328,20210728,12.48,6,14,150,0.005,1,4,0.777914323,342127.0989,0.433856245,0,100,56,56.3666128,0,0,0
1,france,20210328,20210728,12.48,6,14,200,0.005,1,4,0.835226648,329652.2801,0.454499277,0,100,45,44.9376868,0,0,0
1,france,20210328,20211024,18.57,1,14,1,0.005,1,4,0.038716062,23201.67249,0.703003933,0,100,549,9.13592,9,0,0
1,france,20210328,20211024,18.57,1,14,50,0.005,1,4,0.027155203,21109.41197,0.72978619,0,100,198,17.676201,3,0,0
1,france,20210328,20211024,18.57,1,14,100,0.005,1,4,0.027677395,20779.35182,0.734011168,0,100,127,7.2652936,2,0,0
1,france,20210328,20211024,18.57,1,14,150,0.005,1,4,0.028331324,21195.44187,0.728684953,0,100,98,38.0515583,1,0,0
1,france,20210328,20211024,18.57,1,14,200,0.005,1,4,0.029602866,20798.43251,0.733766923,0,100,85,25.2267999,1,0,0
1,france,20210328,20211024,18.57,2,14,1,0.005,1,4,0.05658019,34427.78649,0.664269953,0,100,680,20.0156127,11,0,0
1,france,20210328,20211024,18.57,2,14,50,0.005,1,4,0.035486726,24638.90883,0.759728323,0,100,201,20.9707709,3,0,0
1,france,20210328,20211024,18.57,2,14,100,0.005,1,4,0.034544414,24352.8187,0.762518193,0,100,122,1.875121,2,0,0
1,france,20210328,20211024,18.57,2,14,150,0.005,1,4,0.034714318,24423.84469,0.761825567,0,100,97,37.2331686,1,0,0
1,france,20210328,20211024,18.57,2,14,200,0.005,1,4,0.034697758,24659.14568,0.759530979,0,100,77,17.0447216,1,0,0
1,france,20210328,20211024,18.57,3,14,1,0.005,1,4,0.145275738,41015.0722,0.766850208,0,100,598,58.2805054,9,0,0
1,france,20210328,20211024,18.57,3,14,50,0.005,1,4,0.091223048,28844.64834,0.836032868,0,100,144,23.834476,2,0,0
1,france,20210328,20211024,18.57,3,14,100,0.005,1,4,0.098910469,30036.37414,0.829258514,0,100,81,21.2332159,1,0,0
1,france,20210328,20211024,18.57,3,14,150,0.005,1,4,0.087206852,29095.05866,0.834609413,0,100,75,15.1978152,1,0,0
1,france,20210328,20211024,18.57,3,14,200,0.005,1,4,0.094588097,29486.03794,0.832386895,0,100,61,1.4805136,1,0,0
1,france,20210328,20211024,18.57,4,14,1,0.005,1,4,0.137744954,41643.72674,0.800161096,0,100,623,23.2203996,10,0,0
1,france,20210328,20211024,18.57,4,14,50,0.005,1,4,0.119445394,33043.43403,0.841431972,0,100,92,32.3300531,1,0,0
1,france,20210328,20211024,18.57,4,14,100,0.005,1,4,0.120985726,31712.72509,0.847817745,0,100,77,17.4236858,1,0,0
1,france,20210328,20211024,18.57,4,14,150,0.005,1,4,0.111718968,29591.22083,0.857998369,0,100,58,57.5421368,0,0,0
1,france,20210328,20211024,18.57,4,14,200,0.005,1,4,0.111782257,30941.73011,0.851517577,0,100,46,46.0282677,0,0,0
1,france,20210328,20211024,18.57,5,14,1,0.005,1,4,0.313362188,70220.30516,0.683487338,0,100,566,26.3542102,9,0,0
1,france,20210328,20211024,18.57,5,14,50,0.005,1,4,0.266272224,49034.97545,0.778978594,0,100,115,54.9453082,1,0,0
1,france,20210328,20211024,18.57,5,14,100,0.005,1,4,0.248779118,47149.19609,0.7874786,0,100,70,10.0379916,1,0,0
1,france,20210328,20211024,18.57,5,14,150,0.005,1,4,0.220022267,45044.8153,0.796963936,0,100,69,8.7126228,1,0,0
1,france,20210328,20211024,18.57,5,14,200,0.005,1,4,0.21901469,42629.30952,0.807851644,0,100,53,53.283592,0,0,0
1,france,20210328,20211024,18.57,6,14,1,0.005,1,4,0.233757097,58325.13187,0.748509708,0,100,556,16.4317088,9,0,0
1,france,20210328,20211024,18.57,6,14,50,0.005,1,4,0.197627238,45226.21423,0.804990516,0,100,107,47.281294,1,0,0
1,france,20210328,20211024,18.57,6,14,100,0.005,1,4,0.194678382,47255.56339,0.79624023,0,100,77,17.3792506,1,0,0
1,france,20210328,20211024,18.57,6,14,150,0.005,1,4,0.201055342,47630.30894,0.794624376,0,100,63,2.52429,1,0,0
1,france,20210328,20211024,18.57,6,14,200,0.005,1,4,0.215117076,49425.47486,0.786883857,0,100,63,3.0080818,1,0,0
1,france,20210328,20210223,26.63,1,14,1,0.005,1,4,0.02150991,13435.16296,0.607054014,0,100,573,32.8410247,9,0,0
1,france,20210328,20210223,26.63,1,14,50,0.005,1,4,0.020211745,14230.35336,0.58379662,0,100,272,31.7639449,4,0,0
1,france,20210328,20210223,26.63,1,14,100,0.005,1,4,0.019819408,13821.27605,0.595761141,0,100,204,23.9142599,3,0,0
1,france,20210328,20210223,26.63,1,14,150,0.005,1,4,0.020426255,13942.06296,0.592228417,0,100,168,47.8822924,2,0,0
1,france,20210328,20210223,26.63,1,14,200,0.005,1,4,0.019862678,13945.57596,0.59212567,0,100,135,15.1450472,2,0,0
1,france,20210328,20210223,26.63,2,14,1,0.005,1,4,0.023146825,16034.91195,0.667790921,0,100,646,45.5995585,10,0,0
1,france,20210328,20210223,26.63,2,14,50,0.005,1,4,0.023077675,17786.03423,0.631511413,0,100,262,21.8920556,4,0,0
1,france,20210328,20210223,26.63,2,14,100,0.005,1,4,0.022747174,17500.77705,0.637421331,0,100,182,1.7253305,3,0,0
1,france,20210328,20210223,26.63,2,14,150,0.005,1,4,0.021646996,17017.62674,0.647431172,0,100,144,23.567777,2,0,0
1,france,20210328,20210223,26.63,2,14,200,0.005,1,4,0.021676364,17409.91823,0.639303732,0,100,118,57.5314274,1,0,0
1,france,20210328,20210223,26.63,3,14,1,0.005,1,4,0.072847501,24576.744,0.724312253,0,100,555,14.8663877,9,0,0
1,france,20210328,20210223,26.63,3,14,50,0.005,1,4,0.077542982,25602.78176,0.712802753,0,100,182,2.4644153,3,0,0
1,france,20210328,20210223,26.63,3,14,100,0.005,1,4,0.071855678,26008.49288,0.70825172,0,100,112,51.7832982,1,0,0
1,france,20210328,20210223,26.63,3,14,150,0.005,1,4,0.074707703,25807.12201,0.710510582,0,100,102,42.291606,1,0,0
1,france,20210328,20210223,26.63,3,14,200,0.005,1,4,0.075313834,27485.8101,0.691680027,0,100,82,21.8085055,1,0,0
1,france,20210328,20210223,26.63,4,14,1,0.005,1,4,0.110434454,26351.02654,0.75736036,0,100,566,25.7908852,9,0,0
1,france,20210328,20210223,26.63,4,14,50,0.005,1,4,0.101112622,23671.82176,0.782030415,0,100,113,52.6536891,1,0,0
1,france,20210328,20210223,26.63,4,14,100,0.005,1,4,0.095147994,25094.55903,0.768929883,0,100,92,32.4234028,1,0,0
1,france,20210328,20210223,26.63,4,14,150,0.005,1,4,0.096696609,25445.70187,0.765696568,0,100,72,11.8793772,1,0,0
1,france,20210328,20210223,26.63,4,14,200,0.005,1,4,0.098709139,25004.31564,0.769760843,0,100,59,58.5725001,0,0,0
1,france,20210328,20210223,26.63,5,14,1,0.005,1,4,0.172242415,30482.03691,0.751057027,0,100,543,3.283545,9,0,0
1,france,20210328,20210223,26.63,5,14,50,0.005,1,4,0.178485783,28052.99312,0.770894723,0,100,140,19.9605793,2,0,0
1,france,20210328,20210223,26.63,5,14,100,0.005,1,4,0.164957916,27280.24101,0.777205692,0,100,112,51.6800704,1,0,0
1,france,20210328,20210223,26.63,5,14,150,0.005,1,4,0.173847329,31138.12685,0.745698822,0,100,84,24.4117568,1,0,0
1,france,20210328,20210223,26.63,5,14,200,0.005,1,4,0.17060698,31059.24085,0.746343074,0,100,66,6.1545698,1,0,0
1,france,20210328,20210223,26.63,6,14,1,0.005,1,4,0.155373958,30167.55297,0.769113647,0,100,533,52.9447382,8,0,0
1,france,20210328,20210223,26.63,6,14,50,0.005,1,4,0.168725171,33465.65867,0.743871705,0,100,138,18.4901396,2,0,0
1,france,20210328,20210223,26.63,6,14,100,0.005,1,4,0.155054578,31271.25652,0.760666488,0,100,110,49.9057299,1,0,0
1,france,20210328,20210223,26.63,6,14,150,0.005,1,4,0.146469715,31006.67575,0.762691448,0,100,83,23.3529128,1,0,0
1,france,20210328,20210223,26.63,6,14,200,0.005,1,4,0.148875685,31382.58924,0.759814407,0,100,68,8.4171444,1,0,0
1,france,20210328,20210822,31.07,1,14,1,0.005,1,4,0.034190424,19831.26798,0.52319384,0,100,1160,19.9499107,19,0,0
1,france,20210328,20210822,31.07,1,14,50,0.005,1,4,0.025381407,16033.68198,0.614499772,0,100,426,6.18494,7,0,0
1,france,20210328,20210822,31.07,1,14,100,0.005,1,4,0.024426527,16463.3598,0.604168963,0,100,300,0.4694758,5,0,0
1,france,20210328,20210822,31.07,1,14,150,0.005,1,4,0.024569048,16449.95875,0.604491167,0,100,216,36.2270386,3,0,0
1,france,20210328,20210822,31.07,1,14,200,0.005,1,4,0.024031757,16113.53876,0.612579763,0,100,179,59.3224221,2,0,0
1,france,20210328,20210822,31.07,2,14,1,0.005,1,4,0.034648572,23149.97219,0.584523168,0,100,1141,1.2279073,19,0,0
1,france,20210328,20210822,31.07,2,14,50,0.005,1,4,0.028176411,20211.62722,0.637258189,0,100,337,37.3800227,5,0,0
1,france,20210328,20210822,31.07,2,14,100,0.005,1,4,0.028414748,21046.23553,0.622279319,0,100,226,45.8856209,3,0,0
1,france,20210328,20210822,31.07,2,14,150,0.005,1,4,0.027829478,20670.3621,0.629025189,0,100,174,54.4606511,2,0,0
1,france,20210328,20210822,31.07,2,14,200,0.005,1,4,0.027381572,20191.07253,0.637627087,0,100,141,21.0494761,2,0,0
1,france,20210328,20210822,31.07,3,14,1,0.005,1,4,0.088187217,34523.16289,0.6538396,0,100,868,28.2897973,14,0,0
1,france,20210328,20210822,31.07,3,14,50,0.005,1,4,0.086106495,31433.75965,0.684816746,0,100,202,21.9798867,3,0,0
1,france,20210328,20210822,31.07,3,14,100,0.005,1,4,0.08444325,32063.25387,0.678504869,0,100,128,8.0317621,2,0,0
1,france,20210328,20210822,31.07,3,14,150,0.005,1,4,0.087259264,31557.00873,0.68358094,0,100,110,50.363648,1,0,0
1,france,20210328,20210822,31.07,3,14,200,0.005,1,4,0.086956371,32634.22534,0.672779793,0,100,93,33.0445943,1,0,0
1,france,20210328,20210822,31.07,4,14,1,0.005,1,4,0.121759756,36640.25877,0.699293496,0,100,878,37.824988,14,0,0
1,france,20210328,20210822,31.07,4,14,50,0.005,1,4,0.109400439,37798.92914,0.689784291,0,100,125,4.5502687,2,0,0
1,france,20210328,20210822,31.07,4,14,100,0.005,1,4,0.110290214,37988.50059,0.688228479,0,100,87,27.3080824,1,0,0
1,france,20210328,20210822,31.07,4,14,150,0.005,1,4,0.108388429,37787.27751,0.689879916,0,100,73,13.3793194,1,0,0
1,france,20210328,20210822,31.07,4,14,200,0.005,1,4,0.109352811,38051.33482,0.687712799,0,100,61,1.331688,1,0,0
1,france,20210328,20210822,31.07,5,14,1,0.005,1,4,0.216383788,45997.54405,0.662672055,0,100,833,52.7697858,13,0,0
1,france,20210328,20210822,31.07,5,14,50,0.005,1,4,0.213914499,50580.01525,0.629066008,0,100,141,21.4395986,2,0,0
1,france,20210328,20210822,31.07,5,14,100,0.005,1,4,0.209203172,50431.8546,0.63015256,0,100,116,55.9949953,1,0,0
1,france,20210328,20210822,31.07,5,14,150,0.005,1,4,0.210374442,51476.12754,0.622494272,0,100,85,25.2627558,1,0,0
1,france,20210328,20210822,31.07,5,14,200,0.005,1,4,0.202929256,50689.95651,0.628259742,0,100,74,13.5207002,1,0,0
1,france,20210328,20210822,31.07,6,14,1,0.005,1,4,0.19092645,49605.75709,0.661039367,0,100,803,23.2929167,13,0,0
1,france,20210328,20210822,31.07,6,14,50,0.005,1,4,0.188075359,54815.92246,0.625437835,0,100,125,5.2912843,2,0,0
1,france,20210328,20210822,31.07,6,14,100,0.005,1,4,0.188556247,53046.38487,0.637529246,0,100,107,46.5432479,1,0,0
1,france,20210328,20210822,31.07,6,14,150,0.005,1,4,0.189050411,51787.48032,0.646131454,0,100,90,30.4527521,1,0,0
1,france,20210328,20210822,31.07,6,14,200,0.005,1,4,0.185324651,54328.02656,0.628771672,0,100,71,11.1852244,1,0,0
1,france,20210328,20210728,12.48,7,14,1,0.005,1,4,1.088863878,377255.6827,0.468915781,0,100,935,35.2311089,15,0,0
1,france,20210328,20210728,12.48,7,14,50,0.005,1,4,0.723918588,405027.6792,0.429819567,0,100,109,48.9746232,1,0,0
1,france,20210328,20210728,12.48,7,14,100,0.005,1,4,0.745965499,395406.641,0.443363648,0,100,84,23.7059455,1,0,0
1,france,20210328,20210728,12.48,7,14,150,0.005,1,4,0.810379993,456402.677,0.357496069,0,100,79,19.4971811,1,0,0
1,france,20210328,20210728,12.48,7,14,200,0.005,1,4,0.767960873,444863.4776,0.373740455,0,100,59,59.3823509,0,0,0
1,france,20210328,20210728,12.48,8,14,1,0.005,1,4,1.323321314,322194.9832,0.511088598,0,100,919,18.9958879,15,0,0
1,france,20210328,20210728,12.48,8,14,50,0.005,1,4,1.120093424,335601.6256,0.490744829,0,100,110,49.5323255,1,0,0
1,france,20210328,20210728,12.48,8,14,100,0.005,1,4,1.37738785,413125.5164,0.373107013,0,100,86,25.8688907,1,0,0
1,france,20210328,20210728,12.48,8,14,150,0.005,1,4,1.448973341,442445.0145,0.328616448,0,100,66,6.3409405,1,0,0
