Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.11833608,84105.57786,0.589988696,0,100,52,51.6578406,0,0,0
1,france,20210328,20210728,12.48,1,14,200,0.007,1,4,0.117603503,84054.27155,0.590238812,0,100,71,11.3381888,1,0,0
1,france,20210328,20210728,12.48,1,14,200,0.005,1,4,0.115343152,83427.5919,0.59329385,0,100,91,30.7753893,1,0,0
1,france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.13013546,101464.1338,0.609506103,0,100,42,41.9493932,0,0,0
1,france,20210328,20210728,12.48,2,14,200,0.007,1,4,0.128157372,101190.4987,0.610559212,0,100,48,48.1368237,0,0,0
1,france,20210328,20210728,12.48,2,14,200,0.005,1,4,0.130570628,102353.369,0.606083801,0,100,65,5.0192464,1,0,0
1,france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.359631099,143869.8969,0.664878582,0,100,39,39.3630855,0,0,0
1,france,20210328,20210728,12.48,3,14,200,0.007,1,4,0.367529924,145518.0753,0.661039419,0,100,49,49.4663994,0,0,0
1,france,20210328,20210728,12.48,3,14,200,0.005,1,4,0.379579754,146550.1137,0.658635455,0,100,54,54.4424108,0,0,0
1,france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.433497227,149569.6901,0.689723036,0,100,39,38.763616,0,0,0
1,france,20210328,20210728,12.48,4,14,200,0.007,1,4,0.41321502,148454.4065,0.692036652,0,100,39,38.5731725,0,0,0
1,france,20210328,20210728,12.48,4,14,200,0.005,1,4,0.452458158,153128.261,0.682340908,0,100,40,39.7125259,0,0,0
1,france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.756648127,228165.7291,0.601331045,0,100,40,39.6927953,0,0,0
1,france,20210328,20210728,12.48,5,14,200,0.007,1,4,0.817294033,239436.1909,0.581638415,0,100,42,41.7807764,0,0,0
1,france,20210328,20210728,12.48,5,14,200,0.005,1,4,0.758133439,236400.3419,0.586942887,0,100,41,41.3735964,0,0,0
