Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.11833608,84105.57786,0.589988696,0,100,55,55.3749185,0,0,0
2,france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.119101356,84496.61567,0.588082402,0,100,55,54.8228405,0,0,0
3,france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.124123766,86786.12222,0.57692115,0,100,53,52.92136,0,0,0
4,france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.125351685,82555.6369,0.597544595,0,100,54,53.9396391,0,0,0
5,france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.125854059,85313.78151,0.584098752,0,100,54,54.1059629,0,0,0
1,france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.13013546,101464.1338,0.609506103,0,100,40,39.6241956,0,0,0
2,france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.132768054,103173.1295,0.602928878,0,100,39,38.5269945,0,0,0
3,france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.121183412,99319.00599,0.617761821,0,100,39,38.9816377,0,0,0
4,france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.1257143,101031.8837,0.611169656,0,100,40,39.5033715,0,0,0
5,france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.14209452,105009.7826,0.595860353,0,100,46,45.8003423,0,0,0
1,france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.359631099,143869.8969,0.664878582,0,100,40,39.9297419,0,0,0
2,france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.378822253,145670.8419,0.660683574,0,100,42,42.4549971,0,0,0
3,france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.379413603,144215.6698,0.66407316,0,100,39,39.1217341,0,0,0
4,france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.383352541,145299.8999,0.661547623,0,100,44,43.5149816,0,0,0
5,france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.386078565,148161.6188,0.654881717,0,100,46,45.5120108,0,0,0
1,france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.433497227,149569.6901,0.689723036,0,100,39,38.5440183,0,0,0
2,france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.456059455,158616.691,0.670955356,0,100,35,35.0203827,0,0,0
3,france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.454392395,158985.3837,0.670190517,0,100,33,33.2335949,0,0,0
4,france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.464824276,158146.3969,0.671930965,0,100,36,36.1143469,0,0,0
5,france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.45379232,159684.0067,0.668741248,0,100,37,37.3332983,0,0,0
1,france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.756648127,228165.7291,0.601331045,0,100,39,38.5074869,0,0,0
2,france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.807920128,235938.9295,0.587749103,0,100,41,40.7652365,0,0,0
3,france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.808703664,232814.5842,0.593208203,0,100,37,36.9093687,0,0,0
4,france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.864467554,240326.745,0.58008237,0,100,37,37.4632715,0,0,0
5,france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.832316825,237904.7239,0.584314314,0,100,41,41.2603816,0,0,0
1,france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.767312817,328450.8814,0.456487323,0,100,40,40.4718367,0,0,0
2,france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.738102587,325574.8421,0.461246524,0,100,40,40.009451,0,0,0
3,france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.83641069,329643.0422,0.454514564,0,100,43,42.6631347,0,0,0
4,france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.859115077,332824.894,0.449249311,0,100,39,38.6342568,0,0,0
5,france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.845913486,331691.2993,0.451125157,0,100,43,43.3171547,0,0,0
1,france,20210328,20210728,12.48,7,14,200,0.01,1,4,0.736134015,315989.4289,0.555163761,0,100,63,2.8386088,1,0,0
2,france,20210328,20210728,12.48,7,14,200,0.01,1,4,0.868549645,483530.2861,0.319306995,0,100,60,0.3760423,1,0,0
3,france,20210328,20210728,12.48,7,14,200,0.01,1,4,0.59023854,306231.3587,0.56890075,0,100,64,3.7289377,1,0,0
4,france,20210328,20210728,12.48,7,14,200,0.01,1,4,0.700721831,325416.9944,0.541892043,0,100,59,58.7252227,0,0,0
5,france,20210328,20210728,12.48,7,14,200,0.01,1,4,0.597427478,306164.754,0.568994513,0,100,59,59.0135357,0,0,0
1,france,20210328,20210728,12.48,8,14,200,0.01,1,4,1.569385735,457392.2764,0.305934882,0,100,44,43.5317243,0,0,0
