Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.122553389,84651.54683,0.587327119,0,100,54.2,54.2329442,0,0,0
france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.130379149,101999.5871,0.607445362,0,100,40.8,40.48730832,0,0,0
france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.377459612,145443.5855,0.661212931,0,100,42.2,42.1066931,0,0,0
france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.452513134,157000.4337,0.674308224,0,100,36,36.04912822,0,0,0
france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.81401126,235030.1423,0.589337007,0,100,39,38.98114904,0,0,0
france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.809370931,329636.9918,0.454524576,0,100,41,41.01916678,0,0,0
france,20210328,20210728,12.48,7,14,200,0.01,1,4,0.698614302,347466.5644,0.510851613,0,100,61,24.93646944,0.6,0,0
france,20210328,20210728,12.48,8,14,200,0.01,1,4,1.530735976,459092.7769,0.303354476,0,100,50.6,50.41406796,0,0,0
france,20210328,20210728,12.48,9,14,200,0.01,1,4,1.167252576,313275.7885,0.557253594,0,100,61.8,25.6028299,0.6,0,0
france,20210328,20210728,12.48,10,14,200,0.01,1,4,1.004099434,149632.8354,0.73091485,0,100,57.4,21.3652565,0.6,0,0
france,20210328,20211024,18.57,1,14,200,0.01,1,4,0.028652613,20625.73688,0.735977536,0,100,48.8,48.370962,0,0,0
france,20210328,20211024,18.57,2,14,200,0.01,1,4,0.034285432,24473.25134,0.761343768,0,100,42.8,42.68496362,0,0,0
france,20210328,20211024,18.57,3,14,200,0.01,1,4,0.097715293,30085.22554,0.828980818,0,100,47.2,47.31920662,0,0,0
france,20210328,20211024,18.57,4,14,200,0.01,1,4,0.115778214,31263.63922,0.849972808,0,100,40,39.74345794,0,0,0
france,20210328,20211024,18.57,5,14,200,0.01,1,4,0.236933263,45614.81047,0.794394726,0,100,47.8,48.07506196,0,0,0
france,20210328,20211024,18.57,6,14,200,0.01,1,4,0.211590797,48854.58691,0.789345451,0,100,52.2,52.12124684,0,0,0
france,20210328,20211024,18.57,7,14,200,0.01,1,4,0.22764618,57426.94371,0.7869512,0,100,62.2,38.14315966,0.4,0,0
france,20210328,20211024,18.57,8,14,200,0.01,1,4,0.391111436,57735.54987,0.764453647,0,100,64.4,16.56108494,0.8,0,0
france,20210328,20211024,18.57,9,14,200,0.01,1,4,0.421158325,48063.53977,0.799892699,0,100,70.8,10.99734994,1,0,0
france,20210328,20211024,18.57,10,14,200,0.01,1,4,0.420302755,32924.15184,0.823509104,0,100,60.8,24.6923274,0.6,0,0
france,20210328,20210223,26.63,1,14,200,0.01,1,4,0.020802594,14274.02333,0.58251938,0,100,72.6,12.58733952,1,0,0
france,20210328,20210223,26.63,2,14,200,0.01,1,4,0.023187451,17833.11893,0.630535918,0,100,61.6,13.52495644,0.8,0,0
france,20210328,20210223,26.63,3,14,200,0.01,1,4,0.082182883,27619.68585,0.690178286,0,100,64.4,4.29336212,1,0,0
france,20210328,20210223,26.63,4,14,200,0.01,1,4,0.101628925,25247.50916,0.767521522,0,100,46.6,46.86482268,0,0,0
france,20210328,20210223,26.63,5,14,200,0.01,1,4,0.173741262,30935.31967,0.747355123,0,100,54.2,54.09565724,0,0,0
france,20210328,20210223,26.63,6,14,200,0.01,1,4,0.150497934,31358.40927,0.759999468,0,100,56,56.08452082,0,0,0
france,20210328,20210223,26.63,7,14,200,0.01,1,4,0.163617422,41283.05197,0.741005774,0,100,83.2,23.31078726,1,0,0
france,20210328,20210223,26.63,8,14,200,0.01,1,4,0.212587343,33033.10902,0.769669036,0,100,62.8,14.99702702,0.8,0,0
france,20210328,20210223,26.63,9,14,200,0.01,1,4,0.19272303,36983.00085,0.744169107,0,100,72.2,12.19922912,1,0,0
france,20210328,20210223,26.63,10,14,200,0.01,1,4,0.197916586,25909.19625,0.744991781,0,100,69,9.07285144,1,0,0
france,20210328,20210822,31.07,1,14,200,0.01,1,4,0.024471279,16209.94397,0.610261878,0,100,94,34.00103746,1,0,0
france,20210328,20210822,31.07,2,14,200,0.01,1,4,0.028484018,20376.59714,0.634297443,0,100,82,21.95975848,1,0,0
france,20210328,20210822,31.07,3,14,200,0.01,1,4,0.090395685,32866.5202,0.670450595,0,100,68.4,8.44021004,1,0,0
france,20210328,20210822,31.07,4,14,200,0.01,1,4,0.112182736,37784.57645,0.689902084,0,100,48.6,48.39527252,0,0,0
france,20210328,20210822,31.07,5,14,200,0.01,1,4,0.20470885,50264.64164,0.631378835,0,100,53.2,53.25429432,0,0,0
france,20210328,20210822,31.07,6,14,200,0.01,1,4,0.190709007,53452.8011,0.634752167,0,100,51.8,51.68508868,0,0,0
france,20210328,20210822,31.07,7,14,200,0.01,1,4,0.184066701,61137.27081,0.659700203,0,100,79.2,19.3778723,1,0,0
france,20210328,20210822,31.07,8,14,200,0.01,1,4,0.288981177,58761.92824,0.635199749,0,100,62.6,2.4696385,1,0,0
france,20210328,20210822,31.07,9,14,200,0.01,1,4,0.266952626,55804.35079,0.620254741,0,100,83.6,23.8030603,1,0,0
france,20210328,20210822,31.07,10,14,200,0.01,1,4,0.270232176,40147.39689,0.594915442,0,100,80.8,20.77419496,1,0,0
